,Path,N_calls,Mean_time_per_call [s],Cumulative_time [s]
flow_rates_for_multi_stage_extration_without_side_draws,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\separations.py"", line 1172",162,0.004039053086419754,0.6543266000000001
<listcomp>,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\mixture\mixture.py"", line 346",3790,0.00013728364116094986,0.520305
phase_fraction,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\binary_phase_fraction.py"", line 39",3006,0.00020043692614770463,0.6025134000000001
heat_exchange_to_condition,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\design_tools\heat_transfer.py"", line 26",290,0.0019510603448275863,0.5658075
solve_Tx,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\dew_point.py"", line 183",231,0.0024143705627705627,0.5577196
temperature_interval_pinch_analysis,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py"", line 122",1,0.5295682,0.5295682
xH,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\mixture\mixture.py"", line 343",3790,0.0001391581530343008,0.5274094
_T_error,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\bubble_point.py"", line 110",2663,5.708370259106272e-05,0.1520139
T_dependent_property_integral,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\thermo\utils\t_dependent_property.py"", line 2530",78831,5.531417843234261e-06,0.4360472
<built-in method numpy.core._multiarray_umath.implement_array_function>,,35853.0,1.0531280506512706e-05,0.377578
x_iter,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\dew_point.py"", line 24",10670,3.4673889409559515e-05,0.36997040000000003
solve_Px,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\dew_point.py"", line 240",539,0.000661513172541744,0.35655560000000003
gamma_modified_UNIFAC,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\activity_coefficients.py"", line 152",23948,1.3410197093703024e-05,0.3211474
_P_error,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\dew_point.py"", line 146",1853,0.0001732507825148408,0.32103370000000003
mix_from,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\_stream.py"", line 1253",3333,9.567419741974198e-05,0.3188821
_run_binary_distillation_mass_balance,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\distillation.py"", line 538",47,0.006705193617021278,0.31514410000000004
solve_Ty,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\bubble_point.py"", line 161",381,0.0008206866141732284,0.3126816
<method 'reduce' of 'numpy.ufunc' objects>,,100954.0,2.9896645997186837e-06,0.3018186
T_dependent_property,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\thermo\utils\t_dependent_property.py"", line 1895",67204,4.008242068924468e-06,0.2693699
calculate_integral,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\thermo\heat_capacity.py"", line 996",59895,4.443836714249937e-06,0.2661636
Enthalpy,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\free_energy.py"", line 16",47210,5.122512179622961e-06,0.24183380000000002
roll,"""C:\Users\saran\Anaconda3\envs\bioenv\lib\site-packages\numpy\core\numeric.py"", line 1146",17236,1.2524129728475286e-05,0.21586590000000003
xsolve_T,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\mixture\mixture.py"", line 333",408,0.0005456632352941177,0.2226306
_update_distillate_and_bottoms_temperature,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\biosteam\biosteam\units\distillation.py"", line 584",47,0.0038805617021276597,0.1823864
mean,"""<__array_function__ internals>"", line 2",8682,1.757719419488597e-05,0.1526052
phase_fraction_objective_function,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\binary_phase_fraction.py"", line 157",179953,9.290464732457921e-07,0.16718470000000002
xiter_temperature,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\mixture\mixture.py"", line 64",960,0.00017255239583333334,0.1656503
dew_point_at_P,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\_stream.py"", line 1909",35,0.00457992,0.1602972
<method 'sum' of 'numpy.ndarray' objects>,,33605.0,4.272045826513912e-06,0.1435621
_Ty_ideal,"""C:\Users\saran\Documents\Academia\Spring 2020\BioSTEAM\thermosteam\thermosteam\equilibrium\bubble_point.py"", line 129",372,0.0003701760752688172,0.1377055
