3.198671111960438793e+02,6.535460465291420462e+01,3.482386155814911888e+01,2.114101478878662022e+01,1.561054621373873985e+01,1.198030237100285511e+01,9.567334617824210241e+00,7.844607435763579772e+00,6.569281180963013611e+00,5.565647884258105194e+00
nan,nan,nan,6.401423461434999851e+00,5.686737440163904367e+00,5.105680364771610691e+00,4.632086493491466506e+00,4.209685166527480149e+00,3.831133007595941997e+00,3.492107763830290423e+00
nan,nan,nan,nan,nan,2.323897830704225953e+00,2.122056105442191143e+00,1.943297192959662967e+00,1.782358212237809880e+00,1.635266427806262080e+00
nan,nan,nan,nan,nan,nan,nan,nan,7.659519662518192717e-01,6.758219153529284595e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
