N_Request,N_Actual,Refinery_ID,Size_MMgal,MSP_usd_gal,System_Total_Cost,System_Avg_MSP,Type,X,Y
3,3,1,399.9997110960194,1.3043038992743703,7.36644045986999,2.455480153289997,Sequential,-32169.780960681484,1523275.5924277776
3,3,2,399.9999467372452,1.4069257443927803,7.36644045986999,2.455480153289997,Sequential,83846.13379876167,1705079.793652886
3,3,3,150.00035161802492,1.4706251837156479,7.36644045986999,2.455480153289997,Sequential,-32581.35682837646,1272224.9046312326
