Biorefinery,MPSP,,,,Worst,,,,Baseline,Best
Lignocellulose,1.293199586,Sugarcane,1.681159462,Difference,-0.387959876,Relative Difference,-23%,,-0.465551851,-0.558662221
Lignocellulose,1.511096347,Sugarcane,1.964425251,Difference,-0.453328904,Relative Difference,-23%,,-0.543994685,-0.652793622
Lignocellulose,1.65656669,Sugarcane,2.153536697,Difference,-0.496970007,Relative Difference,-23%,,-0.596364008,-0.71563681
Lignocellulose,1.266087723,Sugarcane,1.64591404,Difference,-0.379826317,Relative Difference,-23%,,-0.45579158,-0.546949896
Lignocellulose,1.426521874,Sugarcane,1.854478436,Difference,-0.427956562,Relative Difference,-23%,,-0.513547874,-0.616257449
Lignocellulose,1.595409077,Sugarcane,2.0740318,Difference,-0.478622723,Relative Difference,-23%,,-0.574347268,-0.689216721
Lignocellulose,1.447292688,Sugarcane,1.881480494,Difference,-0.434187806,Relative Difference,-23%,,-0.521025367,-0.625230441
Lignocellulose,1.219515098,Sugarcane,1.585369627,Difference,-0.365854529,Relative Difference,-23%,,-0.439025435,-0.526830522
Lignocellulose,1.270735293,Sugarcane,1.651955881,Difference,-0.381220588,Relative Difference,-23%,,-0.457464706,-0.548957647
Lignocellulose,1.86148523,Sugarcane,2.4199308,Difference,-0.55844557,Relative Difference,-23%,,-0.670134684,-0.804161621
Lignocellulose,1.287082306,Sugarcane,1.673206998,Difference,-0.386124692,Relative Difference,-23%,,-0.46334963,-0.556019556
Lignocellulose,1.705004442,Sugarcane,2.216505775,Difference,-0.511501333,Relative Difference,-23%,,-0.6138016,-0.73656192
Lignocellulose,1.24266529,Sugarcane,1.615464877,Difference,-0.372799587,Relative Difference,-23%,,-0.447359504,-0.536831405
Lignocellulose,1.552123514,Sugarcane,2.017760568,Difference,-0.465637054,Relative Difference,-23%,,-0.558764465,-0.670517358
Lignocellulose,1.419697227,Sugarcane,1.845606395,Difference,-0.425909168,Relative Difference,-23%,,-0.511091002,-0.613309202
Lignocellulose,1.597030929,Sugarcane,2.076140208,Difference,-0.479109279,Relative Difference,-23%,,-0.574931135,-0.689917362
Lignocellulose,1.647639453,Sugarcane,2.141931289,Difference,-0.494291836,Relative Difference,-23%,,-0.593150203,-0.711780244
Lignocellulose,1.552856667,Sugarcane,2.018713667,Difference,-0.465857,Relative Difference,-23%,,-0.5590284,-0.67083408
Lignocellulose,1.190782031,Sugarcane,1.54801664,Difference,-0.357234609,Relative Difference,-23%,,-0.428681531,-0.514417837
Lignocellulose,1.447313537,Sugarcane,1.881507598,Difference,-0.434194061,Relative Difference,-23%,,-0.521032873,-0.625239448
Lignocellulose,1.262396874,Sugarcane,1.641115936,Difference,-0.378719062,Relative Difference,-23%,,-0.454462874,-0.545355449
Lignocellulose,1.345224809,Sugarcane,1.748792251,Difference,-0.403567442,Relative Difference,-23%,,-0.48428093,-0.581137116
Lignocellulose,1.508450332,Sugarcane,1.960985432,Difference,-0.4525351,Relative Difference,-23%,,-0.54304212,-0.651650544
Lignocellulose,1.631904309,Sugarcane,2.121475602,Difference,-0.489571293,Relative Difference,-23%,,-0.587485552,-0.704982662
Lignocellulose,1.681865441,Sugarcane,2.186425074,Difference,-0.504559633,Relative Difference,-23%,,-0.60547156,-0.726565872
Lignocellulose,1.508699354,Sugarcane,1.96130916,Difference,-0.452609806,Relative Difference,-23%,,-0.543131767,-0.651758121
Lignocellulose,1.345201638,Sugarcane,1.748762129,Difference,-0.403560491,Relative Difference,-23%,,-0.484272589,-0.581127107
Lignocellulose,1.642847951,Sugarcane,2.135702336,Difference,-0.492854385,Relative Difference,-23%,,-0.591425262,-0.709710314
Lignocellulose,1.366306714,Sugarcane,1.776198729,Difference,-0.409892015,Relative Difference,-23%,,-0.491870418,-0.590244502
Lignocellulose,1.394454411,Sugarcane,1.812790734,Difference,-0.418336323,Relative Difference,-23%,,-0.502003588,-0.602404305
Lignocellulose,1.328013306,Sugarcane,1.726417297,Difference,-0.398403991,Relative Difference,-23%,,-0.478084789,-0.573701747
Lignocellulose,1.381311366,Sugarcane,1.795704776,Difference,-0.41439341,Relative Difference,-23%,,-0.497272092,-0.59672651
Lignocellulose,1.315226265,Sugarcane,1.709794145,Difference,-0.39456788,Relative Difference,-23%,,-0.473481456,-0.568177747
Lignocellulose,1.461920085,Sugarcane,1.900496111,Difference,-0.438576026,Relative Difference,-23%,,-0.526291231,-0.631549477
Lignocellulose,1.499638297,Sugarcane,1.949529786,Difference,-0.449891489,Relative Difference,-23%,,-0.539869787,-0.647843744
Lignocellulose,1.584607543,Sugarcane,2.059989806,Difference,-0.475382263,Relative Difference,-23%,,-0.570458716,-0.684550459
Lignocellulose,1.722672969,Sugarcane,2.23947486,Difference,-0.516801891,Relative Difference,-23%,,-0.620162269,-0.744194723
Lignocellulose,1.506041404,Sugarcane,1.957853826,Difference,-0.451812422,Relative Difference,-23%,,-0.542174906,-0.650609888
Lignocellulose,1.386090797,Sugarcane,1.801918036,Difference,-0.415827239,Relative Difference,-23%,,-0.498992687,-0.598791224
Lignocellulose,1.451644931,Sugarcane,1.88713841,Difference,-0.435493479,Relative Difference,-23%,,-0.522592175,-0.62711061
Lignocellulose,1.591655961,Sugarcane,2.069152749,Difference,-0.477496788,Relative Difference,-23%,,-0.572996146,-0.687595375
Lignocellulose,1.423762563,Sugarcane,1.850891331,Difference,-0.427128768,Relative Difference,-23%,,-0.512554522,-0.615065426
Lignocellulose,1.219041102,Sugarcane,1.584753433,Difference,-0.365712331,Relative Difference,-23%,,-0.438854797,-0.526625757
Lignocellulose,1.406450018,Sugarcane,1.828385023,Difference,-0.421935005,Relative Difference,-23%,,-0.506322006,-0.607586407
Lignocellulose,1.508525762,Sugarcane,1.961083491,Difference,-0.452557729,Relative Difference,-23%,,-0.543069275,-0.65168313
Lignocellulose,1.184521775,Sugarcane,1.539878308,Difference,-0.355356533,Relative Difference,-23%,,-0.42642784,-0.511713408
Lignocellulose,1.446345872,Sugarcane,1.880249634,Difference,-0.433903762,Relative Difference,-23%,,-0.520684514,-0.624821417
Lignocellulose,1.36272324,Sugarcane,1.771540212,Difference,-0.408816972,Relative Difference,-23%,,-0.490580366,-0.58869644
Lignocellulose,1.538468004,Sugarcane,2.000008406,Difference,-0.461540402,Relative Difference,-23%,,-0.553848482,-0.664618179
Lignocellulose,1.813010009,Sugarcane,2.356913012,Difference,-0.543903003,Relative Difference,-23%,,-0.652683604,-0.783220324
Lignocellulose,1.491032754,Sugarcane,1.93834258,Difference,-0.447309826,Relative Difference,-23%,,-0.536771791,-0.644126149
Lignocellulose,1.409675113,Sugarcane,1.832577648,Difference,-0.422902535,Relative Difference,-23%,,-0.507483042,-0.60897965
Lignocellulose,1.25485666,Sugarcane,1.631313659,Difference,-0.376456999,Relative Difference,-23%,,-0.451748399,-0.542098079
Lignocellulose,1.505191495,Sugarcane,1.956748943,Difference,-0.451557448,Relative Difference,-23%,,-0.541868938,-0.650242725
Lignocellulose,1.562274015,Sugarcane,2.03095622,Difference,-0.468682205,Relative Difference,-23%,,-0.562418646,-0.674902375
Lignocellulose,1.630958215,Sugarcane,2.12024568,Difference,-0.489287465,Relative Difference,-23%,,-0.587144958,-0.70457395
Lignocellulose,1.440491569,Sugarcane,1.872639039,Difference,-0.43214747,Relative Difference,-23%,,-0.518576964,-0.622292357
Lignocellulose,1.428465862,Sugarcane,1.857005621,Difference,-0.428539759,Relative Difference,-23%,,-0.514247711,-0.617097253
Lignocellulose,1.418833445,Sugarcane,1.844483478,Difference,-0.425650033,Relative Difference,-23%,,-0.51078004,-0.612936048
Lignocellulose,1.324520359,Sugarcane,1.721876467,Difference,-0.397356108,Relative Difference,-23%,,-0.47682733,-0.572192796
Lignocellulose,1.541336006,Sugarcane,2.003736807,Difference,-0.462400801,Relative Difference,-23%,,-0.554880961,-0.665857153
Lignocellulose,1.423986498,Sugarcane,1.851182448,Difference,-0.42719595,Relative Difference,-23%,,-0.51263514,-0.615162168
Lignocellulose,1.353268331,Sugarcane,1.759248831,Difference,-0.4059805,Relative Difference,-23%,,-0.4871766,-0.58461192
Lignocellulose,1.67679972,Sugarcane,2.179839637,Difference,-0.503039917,Relative Difference,-23%,,-0.6036479,-0.72437748
Lignocellulose,1.422469936,Sugarcane,1.849210917,Difference,-0.426740981,Relative Difference,-23%,,-0.512089177,-0.614507013
Lignocellulose,1.353730046,Sugarcane,1.75984906,Difference,-0.406119014,Relative Difference,-23%,,-0.487342817,-0.58481138
Lignocellulose,1.419059212,Sugarcane,1.844776975,Difference,-0.425717763,Relative Difference,-23%,,-0.510861316,-0.613033579
Lignocellulose,1.231113409,Sugarcane,1.600447432,Difference,-0.369334023,Relative Difference,-23%,,-0.443200828,-0.531840993
Lignocellulose,1.157771324,Sugarcane,1.505102721,Difference,-0.347331397,Relative Difference,-23%,,-0.416797676,-0.500157212
Lignocellulose,1.227237902,Sugarcane,1.595409273,Difference,-0.368171371,Relative Difference,-23%,,-0.441805645,-0.530166774
Lignocellulose,1.385526143,Sugarcane,1.801183985,Difference,-0.415657842,Relative Difference,-23%,,-0.49878941,-0.598547292
Lignocellulose,1.361371321,Sugarcane,1.769782717,Difference,-0.408411396,Relative Difference,-23%,,-0.490093675,-0.58811241
Lignocellulose,1.341687869,Sugarcane,1.744194229,Difference,-0.40250636,Relative Difference,-23%,,-0.483007632,-0.579609158
Lignocellulose,1.65268319,Sugarcane,2.148488147,Difference,-0.495804957,Relative Difference,-23%,,-0.594965948,-0.713959138
Lignocellulose,1.752033218,Sugarcane,2.277643184,Difference,-0.525609966,Relative Difference,-23%,,-0.630731959,-0.756878351
Lignocellulose,1.709568593,Sugarcane,2.22243917,Difference,-0.512870577,Relative Difference,-23%,,-0.615444692,-0.738533631
Lignocellulose,1.121993339,Sugarcane,1.458591341,Difference,-0.336598002,Relative Difference,-23%,,-0.403917602,-0.484701123
Lignocellulose,1.356596347,Sugarcane,1.763575251,Difference,-0.406978904,Relative Difference,-23%,,-0.488374685,-0.586049622
Lignocellulose,1.330912255,Sugarcane,1.730185932,Difference,-0.399273677,Relative Difference,-23%,,-0.479128412,-0.574954095
Lignocellulose,1.404091564,Sugarcane,1.825319034,Difference,-0.42122747,Relative Difference,-23%,,-0.505472964,-0.606567557
Lignocellulose,1.538655468,Sugarcane,2.000252108,Difference,-0.46159664,Relative Difference,-23%,,-0.553915968,-0.664699162
Lignocellulose,1.372670803,Sugarcane,1.784472044,Difference,-0.411801241,Relative Difference,-23%,,-0.494161489,-0.592993787
Lignocellulose,1.367825248,Sugarcane,1.778172822,Difference,-0.410347574,Relative Difference,-23%,,-0.492417089,-0.590900507
Lignocellulose,1.476086716,Sugarcane,1.918912731,Difference,-0.442826015,Relative Difference,-23%,,-0.531391218,-0.637669462
Lignocellulose,1.53186821,Sugarcane,1.991428673,Difference,-0.459560463,Relative Difference,-23%,,-0.551472556,-0.661767067
Lignocellulose,1.328536206,Sugarcane,1.727097067,Difference,-0.398560861,Relative Difference,-23%,,-0.478273033,-0.57392764
Lignocellulose,1.73792626,Sugarcane,2.259304137,Difference,-0.521377877,Relative Difference,-23%,,-0.625653452,-0.750784143
Lignocellulose,1.093351421,Sugarcane,1.421356848,Difference,-0.328005427,Relative Difference,-23%,,-0.393606512,-0.472327815
Lignocellulose,1.267608798,Sugarcane,1.647891437,Difference,-0.380282639,Relative Difference,-23%,,-0.456339167,-0.547607
Lignocellulose,1.114224675,Sugarcane,1.448492077,Difference,-0.334267402,Relative Difference,-23%,,-0.401120882,-0.481345059
Lignocellulose,1.305027071,Sugarcane,1.696535192,Difference,-0.391508121,Relative Difference,-23%,,-0.469809745,-0.563771694
Lignocellulose,1.378220061,Sugarcane,1.79168608,Difference,-0.413466019,Relative Difference,-23%,,-0.496159223,-0.595391067
Lignocellulose,1.569345842,Sugarcane,2.040149594,Difference,-0.470803752,Relative Difference,-23%,,-0.564964502,-0.677957403
Lignocellulose,1.510180488,Sugarcane,1.963234634,Difference,-0.453054146,Relative Difference,-23%,,-0.543664975,-0.65239797
Lignocellulose,1.343296032,Sugarcane,1.746284841,Difference,-0.402988809,Relative Difference,-23%,,-0.483586571,-0.580303885
Lignocellulose,1.51383113,Sugarcane,1.967980469,Difference,-0.454149339,Relative Difference,-23%,,-0.544979207,-0.653975048
Lignocellulose,1.465011051,Sugarcane,1.904514366,Difference,-0.439503315,Relative Difference,-23%,,-0.527403978,-0.632884774
Lignocellulose,1.566147623,Sugarcane,2.03599191,Difference,-0.469844287,Relative Difference,-23%,,-0.563813144,-0.676575773
Lignocellulose,1.40383087,Sugarcane,1.824980131,Difference,-0.421149261,Relative Difference,-23%,,-0.505379113,-0.606454936
Lignocellulose,1.447002864,Sugarcane,1.881103723,Difference,-0.434100859,Relative Difference,-23%,,-0.520921031,-0.625105237
Lignocellulose,1.734219992,Sugarcane,2.254485989,Difference,-0.520265997,Relative Difference,-23%,,-0.624319196,-0.749183036
Lignocellulose,1.211034932,Sugarcane,1.574345411,Difference,-0.363310479,Relative Difference,-23%,,-0.435972575,-0.52316709
Lignocellulose,1.795277685,Sugarcane,2.33386099,Difference,-0.538583305,Relative Difference,-23%,,-0.646299966,-0.775559959
Lignocellulose,1.527902839,Sugarcane,1.98627369,Difference,-0.458370851,Relative Difference,-23%,,-0.550045021,-0.660054025
Lignocellulose,1.185167865,Sugarcane,1.540718224,Difference,-0.355550359,Relative Difference,-23%,,-0.426660431,-0.511992517
Lignocellulose,1.305937331,Sugarcane,1.69771853,Difference,-0.391781199,Relative Difference,-23%,,-0.470137439,-0.564164927
Lignocellulose,1.478659321,Sugarcane,1.922257118,Difference,-0.443597797,Relative Difference,-23%,,-0.532317356,-0.638780828
Lignocellulose,1.333310314,Sugarcane,1.733303409,Difference,-0.399993095,Relative Difference,-23%,,-0.479991714,-0.575990057
Lignocellulose,1.531521372,Sugarcane,1.990977784,Difference,-0.459456412,Relative Difference,-23%,,-0.551347694,-0.661617233
Lignocellulose,1.368570731,Sugarcane,1.77914195,Difference,-0.410571219,Relative Difference,-23%,,-0.492685463,-0.591222555
Lignocellulose,1.547257733,Sugarcane,2.011435053,Difference,-0.46417732,Relative Difference,-23%,,-0.557012784,-0.668415341
Lignocellulose,1.695786648,Sugarcane,2.204522642,Difference,-0.508735994,Relative Difference,-23%,,-0.610483193,-0.732579831
Lignocellulose,1.365877449,Sugarcane,1.775640683,Difference,-0.409763234,Relative Difference,-23%,,-0.491715881,-0.590059057
Lignocellulose,1.320726818,Sugarcane,1.716944863,Difference,-0.396218045,Relative Difference,-23%,,-0.475461654,-0.570553985
Lignocellulose,1.340310366,Sugarcane,1.742403476,Difference,-0.40209311,Relative Difference,-23%,,-0.482511732,-0.579014078
Lignocellulose,1.361792766,Sugarcane,1.770330596,Difference,-0.40853783,Relative Difference,-23%,,-0.490245396,-0.588294475
Lignocellulose,1.200893924,Sugarcane,1.561162102,Difference,-0.360268178,Relative Difference,-23%,,-0.432321814,-0.518786176
Lignocellulose,1.623740692,Sugarcane,2.1108629,Difference,-0.487122208,Relative Difference,-23%,,-0.58454665,-0.70145598
Lignocellulose,1.35463313,Sugarcane,1.76102307,Difference,-0.40638994,Relative Difference,-23%,,-0.487667928,-0.585201514
Lignocellulose,1.283023389,Sugarcane,1.667930406,Difference,-0.384907017,Relative Difference,-23%,,-0.46188842,-0.554266104
Lignocellulose,1.18119934,Sugarcane,1.535559142,Difference,-0.354359802,Relative Difference,-23%,,-0.425231762,-0.510278115
Lignocellulose,1.343704221,Sugarcane,1.746815487,Difference,-0.403111266,Relative Difference,-23%,,-0.483733519,-0.580480223
Lignocellulose,1.45754004,Sugarcane,1.894802052,Difference,-0.437262012,Relative Difference,-23%,,-0.524714414,-0.629657297
Lignocellulose,1.47045314,Sugarcane,1.911589082,Difference,-0.441135942,Relative Difference,-23%,,-0.52936313,-0.635235756
Lignocellulose,1.906958894,Sugarcane,2.479046562,Difference,-0.572087668,Relative Difference,-23%,,-0.686505202,-0.823806242
Lignocellulose,1.210914731,Sugarcane,1.57418915,Difference,-0.363274419,Relative Difference,-23%,,-0.435929303,-0.523115163
Lignocellulose,1.184787336,Sugarcane,1.540223537,Difference,-0.355436201,Relative Difference,-23%,,-0.426523441,-0.511828129
Lignocellulose,1.242113889,Sugarcane,1.614748055,Difference,-0.372634166,Relative Difference,-23%,,-0.447160999,-0.536593199
Lignocellulose,1.546607266,Sugarcane,2.010589446,Difference,-0.46398218,Relative Difference,-23%,,-0.556778616,-0.668134339
Lignocellulose,1.358793181,Sugarcane,1.766431136,Difference,-0.407637955,Relative Difference,-23%,,-0.489165546,-0.586998655
Lignocellulose,1.515037815,Sugarcane,1.969549159,Difference,-0.454511344,Relative Difference,-23%,,-0.545413613,-0.654496335
Lignocellulose,1.711724004,Sugarcane,2.225241205,Difference,-0.513517201,Relative Difference,-23%,,-0.616220641,-0.739464769
Lignocellulose,1.408834254,Sugarcane,1.831484531,Difference,-0.422650277,Relative Difference,-23%,,-0.507180332,-0.608616399
Lignocellulose,1.485812919,Sugarcane,1.931556795,Difference,-0.445743876,Relative Difference,-23%,,-0.534892651,-0.641871181
Lignocellulose,1.439780006,Sugarcane,1.871714008,Difference,-0.431934002,Relative Difference,-23%,,-0.518320802,-0.621984963
Lignocellulose,1.481784085,Sugarcane,1.92631931,Difference,-0.444535225,Relative Difference,-23%,,-0.53344227,-0.640130724
Lignocellulose,1.449414797,Sugarcane,1.884239236,Difference,-0.434824439,Relative Difference,-23%,,-0.521789327,-0.626147192
Lignocellulose,1.239920743,Sugarcane,1.611896966,Difference,-0.371976223,Relative Difference,-23%,,-0.446371468,-0.535645761
Lignocellulose,1.230760169,Sugarcane,1.59998822,Difference,-0.369228051,Relative Difference,-23%,,-0.443073661,-0.531688393
Lignocellulose,1.313689032,Sugarcane,1.707795741,Difference,-0.394106709,Relative Difference,-23%,,-0.472928051,-0.567513661
Lignocellulose,1.36238892,Sugarcane,1.771105596,Difference,-0.408716676,Relative Difference,-23%,,-0.490460011,-0.588552013
Lignocellulose,1.606802081,Sugarcane,2.088842705,Difference,-0.482040624,Relative Difference,-23%,,-0.578448749,-0.694138499
Lignocellulose,1.714537674,Sugarcane,2.228898976,Difference,-0.514361302,Relative Difference,-23%,,-0.617233562,-0.740680275
Lignocellulose,1.179049079,Sugarcane,1.532763803,Difference,-0.353714724,Relative Difference,-23%,,-0.424457669,-0.509349203
Lignocellulose,1.080801739,Sugarcane,1.40504226,Difference,-0.324240521,Relative Difference,-23%,,-0.389088625,-0.46690635
Lignocellulose,1.226287973,Sugarcane,1.594174365,Difference,-0.367886392,Relative Difference,-23%,,-0.44146367,-0.529756404
Lignocellulose,1.563942981,Sugarcane,2.033125876,Difference,-0.469182895,Relative Difference,-23%,,-0.563019474,-0.675623369
Lignocellulose,1.50532063,Sugarcane,1.956916819,Difference,-0.451596189,Relative Difference,-23%,,-0.541915427,-0.650298512
Lignocellulose,1.447073299,Sugarcane,1.881195288,Difference,-0.434121989,Relative Difference,-23%,,-0.520946387,-0.625135664
Lignocellulose,1.50981653,Sugarcane,1.962761489,Difference,-0.452944959,Relative Difference,-23%,,-0.543533951,-0.652240741
Lignocellulose,1.201521867,Sugarcane,1.561978428,Difference,-0.360456561,Relative Difference,-23%,,-0.432547873,-0.519057448
Lignocellulose,1.409412556,Sugarcane,1.832236323,Difference,-0.422823767,Relative Difference,-23%,,-0.50738852,-0.608866224
Lignocellulose,1.783207105,Sugarcane,2.318169236,Difference,-0.534962131,Relative Difference,-23%,,-0.641954557,-0.770345469
Lignocellulose,1.316206151,Sugarcane,1.711067996,Difference,-0.394861845,Relative Difference,-23%,,-0.473834214,-0.568601057
Lignocellulose,1.358811676,Sugarcane,1.766455178,Difference,-0.407643502,Relative Difference,-23%,,-0.489172202,-0.587006643
Lignocellulose,1.393076533,Sugarcane,1.810999493,Difference,-0.41792296,Relative Difference,-23%,,-0.501507552,-0.601809062
Lignocellulose,1.346937784,Sugarcane,1.751019119,Difference,-0.404081335,Relative Difference,-23%,,-0.484897602,-0.581877122
Lignocellulose,1.464172937,Sugarcane,1.903424818,Difference,-0.439251881,Relative Difference,-23%,,-0.527102257,-0.632522709
Lignocellulose,1.441456117,Sugarcane,1.873892953,Difference,-0.432436836,Relative Difference,-23%,,-0.518924203,-0.622709044
Lignocellulose,1.471222435,Sugarcane,1.912589166,Difference,-0.441366731,Relative Difference,-23%,,-0.529640077,-0.635568093
Lignocellulose,1.335747728,Sugarcane,1.736472047,Difference,-0.400724319,Relative Difference,-23%,,-0.480869183,-0.577043019
Lignocellulose,1.215534301,Sugarcane,1.580194591,Difference,-0.36466029,Relative Difference,-23%,,-0.437592348,-0.525110818
Lignocellulose,1.451303476,Sugarcane,1.886694519,Difference,-0.435391043,Relative Difference,-23%,,-0.522469252,-0.626963102
Lignocellulose,1.151224801,Sugarcane,1.496592242,Difference,-0.345367441,Relative Difference,-23%,,-0.414440929,-0.497329115
Lignocellulose,1.514706164,Sugarcane,1.969118013,Difference,-0.454411849,Relative Difference,-23%,,-0.545294219,-0.654353063
Lignocellulose,1.310771423,Sugarcane,1.70400285,Difference,-0.393231427,Relative Difference,-23%,,-0.471877712,-0.566253255
Lignocellulose,1.279499905,Sugarcane,1.663349876,Difference,-0.383849971,Relative Difference,-23%,,-0.460619965,-0.552743958
Lignocellulose,1.432649279,Sugarcane,1.862444063,Difference,-0.429794784,Relative Difference,-23%,,-0.515753741,-0.618904489
Lignocellulose,1.362513077,Sugarcane,1.771267,Difference,-0.408753923,Relative Difference,-23%,,-0.490504708,-0.588605649
Lignocellulose,1.483003655,Sugarcane,1.927904752,Difference,-0.444901097,Relative Difference,-23%,,-0.533881316,-0.64065758
Lignocellulose,1.452407793,Sugarcane,1.88813013,Difference,-0.435722337,Relative Difference,-23%,,-0.522866804,-0.627440165
Lignocellulose,1.341217628,Sugarcane,1.743582917,Difference,-0.402365289,Relative Difference,-23%,,-0.482838347,-0.579406016
Lignocellulose,1.7530615,Sugarcane,2.278979951,Difference,-0.525918451,Relative Difference,-23%,,-0.631102141,-0.757322569
Lignocellulose,1.369257499,Sugarcane,1.780034749,Difference,-0.41077725,Relative Difference,-23%,,-0.4929327,-0.59151924
Lignocellulose,1.290304817,Sugarcane,1.677396263,Difference,-0.387091446,Relative Difference,-23%,,-0.464509735,-0.557411682
Lignocellulose,1.375509898,Sugarcane,1.788162868,Difference,-0.41265297,Relative Difference,-23%,,-0.495183564,-0.594220277
Lignocellulose,1.278413206,Sugarcane,1.661937168,Difference,-0.383523962,Relative Difference,-23%,,-0.460228754,-0.552274505
Lignocellulose,1.456499262,Sugarcane,1.893449041,Difference,-0.436949779,Relative Difference,-23%,,-0.524339735,-0.629207682
Lignocellulose,1.250443397,Sugarcane,1.625576417,Difference,-0.37513302,Relative Difference,-23%,,-0.450159624,-0.540191549
Lignocellulose,1.184827543,Sugarcane,1.540275805,Difference,-0.355448262,Relative Difference,-23%,,-0.426537914,-0.511845497
Lignocellulose,1.602370428,Sugarcane,2.083081556,Difference,-0.480711128,Relative Difference,-23%,,-0.576853354,-0.692224024
Lignocellulose,1.363052286,Sugarcane,1.771967972,Difference,-0.408915686,Relative Difference,-23%,,-0.490698823,-0.588838588
Lignocellulose,1.212486198,Sugarcane,1.576232057,Difference,-0.363745859,Relative Difference,-23%,,-0.436495031,-0.523794037
Lignocellulose,1.388489935,Sugarcane,1.805036915,Difference,-0.41654698,Relative Difference,-23%,,-0.499856376,-0.599827651
Lignocellulose,1.27040205,Sugarcane,1.651522666,Difference,-0.381120616,Relative Difference,-23%,,-0.457344739,-0.548813687
Lignocellulose,1.421715773,Sugarcane,1.848230505,Difference,-0.426514732,Relative Difference,-23%,,-0.511817678,-0.614181214
Lignocellulose,1.284630986,Sugarcane,1.670020281,Difference,-0.385389295,Relative Difference,-23%,,-0.462467154,-0.554960585
Lignocellulose,1.242306607,Sugarcane,1.61499859,Difference,-0.372691983,Relative Difference,-23%,,-0.44723038,-0.536676456
Lignocellulose,1.383748242,Sugarcane,1.798872715,Difference,-0.415124473,Relative Difference,-23%,,-0.498149368,-0.597779241
Lignocellulose,1.314945791,Sugarcane,1.709429528,Difference,-0.394483737,Relative Difference,-23%,,-0.473380484,-0.568056581
Lignocellulose,1.421196477,Sugarcane,1.84755542,Difference,-0.426358943,Relative Difference,-23%,,-0.511630732,-0.613956878
Lignocellulose,1.443425881,Sugarcane,1.876453645,Difference,-0.433027764,Relative Difference,-23%,,-0.519633317,-0.62355998
Lignocellulose,1.122419031,Sugarcane,1.459144741,Difference,-0.33672571,Relative Difference,-23%,,-0.404070852,-0.484885022
Lignocellulose,1.159697736,Sugarcane,1.507607057,Difference,-0.347909321,Relative Difference,-23%,,-0.417491185,-0.500989422
Lignocellulose,1.383850788,Sugarcane,1.799006024,Difference,-0.415155236,Relative Difference,-23%,,-0.498186283,-0.59782354
Lignocellulose,1.674385989,Sugarcane,2.176701785,Difference,-0.502315796,Relative Difference,-23%,,-0.602778955,-0.723334746
Lignocellulose,1.116275314,Sugarcane,1.451157908,Difference,-0.334882594,Relative Difference,-23%,,-0.401859113,-0.482230935
Lignocellulose,1.340337203,Sugarcane,1.742438364,Difference,-0.402101161,Relative Difference,-23%,,-0.482521393,-0.579025672
Lignocellulose,1.415150943,Sugarcane,1.839696226,Difference,-0.424545283,Relative Difference,-23%,,-0.50945434,-0.611345208
Lignocellulose,1.466595327,Sugarcane,1.906573926,Difference,-0.439978599,Relative Difference,-23%,,-0.527974319,-0.633569183
Lignocellulose,1.082709543,Sugarcane,1.407522407,Difference,-0.324812864,Relative Difference,-23%,,-0.389775437,-0.467730524
Lignocellulose,1.560954076,Sugarcane,2.029240299,Difference,-0.468286223,Relative Difference,-23%,,-0.561943468,-0.674332161
Lignocellulose,1.116180623,Sugarcane,1.45103481,Difference,-0.334854187,Relative Difference,-23%,,-0.401825024,-0.482190029
Lignocellulose,1.212371626,Sugarcane,1.576083113,Difference,-0.363711487,Relative Difference,-23%,,-0.436453784,-0.523744541
Lignocellulose,1.217686331,Sugarcane,1.58299223,Difference,-0.365305899,Relative Difference,-23%,,-0.438367079,-0.526040495
Lignocellulose,1.153903516,Sugarcane,1.50007457,Difference,-0.346171054,Relative Difference,-23%,,-0.415405265,-0.498486318
Lignocellulose,1.336923444,Sugarcane,1.738000478,Difference,-0.401077034,Relative Difference,-23%,,-0.481292441,-0.577550929
Lignocellulose,1.315974131,Sugarcane,1.71076637,Difference,-0.394792239,Relative Difference,-23%,,-0.473750687,-0.568500824
Lignocellulose,1.477151371,Sugarcane,1.920296782,Difference,-0.443145411,Relative Difference,-23%,,-0.531774493,-0.638129392
Lignocellulose,1.338709903,Sugarcane,1.740322874,Difference,-0.401612971,Relative Difference,-23%,,-0.481935565,-0.578322678
Lignocellulose,1.41345556,Sugarcane,1.837492227,Difference,-0.424036667,Relative Difference,-23%,,-0.508844,-0.6106128
Lignocellulose,1.447791121,Sugarcane,1.882128457,Difference,-0.434337336,Relative Difference,-23%,,-0.521204803,-0.625445764
Lignocellulose,1.098372441,Sugarcane,1.427884173,Difference,-0.329511732,Relative Difference,-23%,,-0.395414078,-0.474496894
Lignocellulose,1.114252087,Sugarcane,1.448527713,Difference,-0.334275626,Relative Difference,-23%,,-0.401130751,-0.481356901
Lignocellulose,1.369521282,Sugarcane,1.780377666,Difference,-0.410856384,Relative Difference,-23%,,-0.493027661,-0.591633193
Lignocellulose,1.132368471,Sugarcane,1.472079012,Difference,-0.339710541,Relative Difference,-23%,,-0.407652649,-0.489183179
Lignocellulose,1.379310983,Sugarcane,1.793104278,Difference,-0.413793295,Relative Difference,-23%,,-0.496551954,-0.595862345
Lignocellulose,1.056377088,Sugarcane,1.373290214,Difference,-0.316913126,Relative Difference,-23%,,-0.380295751,-0.456354901
