Biorefinery,MPSP,,,,Worst,,,,Baseline,Best
Lignocellulose,1.420956141,Sugarcane,1.847242983,Difference,-0.426286842,Relative Difference,-23%,,-0.51154421,-0.613853052
Lignocellulose,1.295463475,Sugarcane,1.684102517,Difference,-0.388639042,Relative Difference,-23%,,-0.46636685,-0.55964022
Lignocellulose,1.465854891,Sugarcane,1.905611359,Difference,-0.439756468,Relative Difference,-23%,,-0.527707762,-0.633249314
Lignocellulose,1.552381261,Sugarcane,2.018095639,Difference,-0.465714378,Relative Difference,-23%,,-0.558857254,-0.670628704
Lignocellulose,1.899716214,Sugarcane,2.469631078,Difference,-0.569914864,Relative Difference,-23%,,-0.683897837,-0.820677404
Lignocellulose,1.44793009,Sugarcane,1.882309116,Difference,-0.434379026,Relative Difference,-23%,,-0.521254831,-0.625505797
Lignocellulose,1.575348891,Sugarcane,2.047953559,Difference,-0.472604668,Relative Difference,-23%,,-0.567125602,-0.680550722
Lignocellulose,1.384636203,Sugarcane,1.800027064,Difference,-0.415390861,Relative Difference,-23%,,-0.498469033,-0.59816284
Lignocellulose,1.529070888,Sugarcane,1.987792154,Difference,-0.458721266,Relative Difference,-23%,,-0.550465519,-0.660558623
Lignocellulose,1.687949867,Sugarcane,2.194334827,Difference,-0.50638496,Relative Difference,-23%,,-0.607661952,-0.729194342
Lignocellulose,1.507256642,Sugarcane,1.959433634,Difference,-0.452176992,Relative Difference,-23%,,-0.54261239,-0.651134868
Lignocellulose,1.42677696,Sugarcane,1.854810048,Difference,-0.428033088,Relative Difference,-23%,,-0.513639706,-0.616367647
Lignocellulose,1.59957593,Sugarcane,2.079448709,Difference,-0.479872779,Relative Difference,-23%,,-0.575847335,-0.691016802
Lignocellulose,1.679451432,Sugarcane,2.183286862,Difference,-0.50383543,Relative Difference,-23%,,-0.604602516,-0.725523019
Lignocellulose,1.681601766,Sugarcane,2.186082296,Difference,-0.50448053,Relative Difference,-23%,,-0.605376636,-0.726451963
