Refinery,Product,Activation (s),Area (km2),Feedstock (Tons),Prod Volume,Unit,MSP ($),Market Price ($),Profit/Unit ($),Extra Revenue ($)
1_EtOH,EtOH,1.0,82998.07,3610619.0,326.4,MMgal,2.462,2.84,0.378,123.33
2_EtOH,EtOH,1.0,111673.59,3571142.0,322.83,MMgal,2.619,2.84,0.221,71.49
3_EtOH,EtOH,1.0,135779.72,3610619.0,326.4,MMgal,2.698,2.84,0.142,46.4
4_AA,AA,1.0,105874.25,1769736.0,434.52,10^6 kg,1.483,1.525,0.042,18.43
5_LA,LA,1.0,61209.43,795731.0,255.0,10^6 kg,1.495,3.1149999999999998,1.62,413.08
6_SA,SA,1.0,11022.12,124808.0,27.03,10^6 kg,1.29,3.26,1.97,53.26
7_KS,KS,1.0,21570.4,310428.0,20.4,10^6 kg,6.784,7.12,0.336,6.86
