Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price
"5/9/2011","2011","2011","D5","Unverified","$0.76"
"5/9/2011","2011","2011","D6","Unverified","$0.03"
"5/16/2011","2011","2010","D4","Unverified","$1.27"
"5/16/2011","2011","2010","D6","Unverified","$0.01"
"5/16/2011","2011","2011","D4","Unverified","$1.26"
"5/16/2011","2011","2011","D5","Unverified","$0.78"
"5/16/2011","2011","2011","D6","Unverified","$0.02"
"5/23/2011","2011","2010","D4","Unverified","$1.14"
"5/23/2011","2011","2010","D5","Unverified","$0.65"
"5/23/2011","2011","2010","D6","Unverified","$0.01"
"5/23/2011","2011","2011","D4","Unverified","$1.27"
"5/23/2011","2011","2011","D5","Unverified","$0.64"
"5/23/2011","2011","2011","D6","Unverified","$0.09"
"5/30/2011","2011","2010","D4","Unverified","$1.28"
"5/30/2011","2011","2010","D5","Unverified","$0.50"
"5/30/2011","2011","2010","D6","Unverified","$0.01"
"5/30/2011","2011","2011","D4","Unverified","$1.19"
"5/30/2011","2011","2011","D5","Unverified","$0.51"
"5/30/2011","2011","2011","D6","Unverified","$0.03"
"6/6/2011","2011","2010","D4","Unverified","$1.20"
"6/6/2011","2011","2010","D6","Unverified","$0.01"
"6/6/2011","2011","2011","D4","Unverified","$1.26"
"6/6/2011","2011","2011","D5","Unverified","$0.53"
"6/6/2011","2011","2011","D6","Unverified","$0.03"
"6/13/2011","2011","2010","D4","Unverified","$1.36"
"6/13/2011","2011","2010","D5","Unverified","$0.55"
"6/13/2011","2011","2010","D6","Unverified","$0.01"
"6/13/2011","2011","2011","D4","Unverified","$1.19"
"6/13/2011","2011","2011","D5","Unverified","$0.63"
"6/13/2011","2011","2011","D6","Unverified","$0.03"
"6/20/2011","2011","2010","D4","Unverified","$1.34"
"6/20/2011","2011","2010","D6","Unverified","$0.01"
"6/20/2011","2011","2011","D4","Unverified","$1.20"
"6/20/2011","2011","2011","D5","Unverified","$0.79"
"6/20/2011","2011","2011","D6","Unverified","$0.04"
"6/27/2011","2011","2010","D4","Unverified","$1.33"
"6/27/2011","2011","2010","D5","Unverified","$0.82"
"6/27/2011","2011","2010","D6","Unverified","$0.01"
"6/27/2011","2011","2011","D4","Unverified","$1.18"
"6/27/2011","2011","2011","D5","Unverified","$0.60"
"6/27/2011","2011","2011","D6","Unverified","$0.03"
"7/4/2011","2011","2010","D6","Unverified","$0.01"
"7/4/2011","2011","2011","D4","Unverified","$1.30"
"7/4/2011","2011","2011","D5","Unverified","$0.54"
"7/4/2011","2011","2011","D6","Unverified","$0.03"
"7/11/2011","2011","2010","D6","Unverified","$0.01"
"7/11/2011","2011","2011","D4","Unverified","$1.28"
"7/11/2011","2011","2011","D5","Unverified","$0.66"
"7/11/2011","2011","2011","D6","Unverified","$0.03"
"7/18/2011","2011","2010","D4","Unverified","$1.30"
"7/18/2011","2011","2010","D5","Unverified","$0.80"
"7/18/2011","2011","2010","D6","Unverified","$0.01"
"7/18/2011","2011","2011","D4","Unverified","$1.28"
"7/18/2011","2011","2011","D5","Unverified","$0.85"
"7/18/2011","2011","2011","D6","Unverified","$0.04"
"7/25/2011","2011","2010","D4","Unverified","$1.34"
"7/25/2011","2011","2010","D5","Unverified","$0.69"
"7/25/2011","2011","2010","D6","Unverified","$0.01"
"7/25/2011","2011","2011","D4","Unverified","$1.31"
"7/25/2011","2011","2011","D5","Unverified","$0.77"
"7/25/2011","2011","2011","D6","Unverified","$0.03"
"8/1/2011","2011","2010","D4","Unverified","$1.35"
"8/1/2011","2011","2010","D5","Unverified","$0.71"
"8/1/2011","2011","2010","D6","Unverified","$0.01"
"8/1/2011","2011","2011","D4","Unverified","$1.33"
"8/1/2011","2011","2011","D5","Unverified","$0.79"
"8/1/2011","2011","2011","D6","Unverified","$0.03"
"8/8/2011","2011","2010","D6","Unverified","$0.03"
"8/8/2011","2011","2011","D4","Unverified","$1.37"
"8/8/2011","2011","2011","D5","Unverified","$0.85"
"8/8/2011","2011","2011","D6","Unverified","$0.03"
"8/15/2011","2011","2010","D4","Unverified","$1.37"
"8/15/2011","2011","2010","D6","Unverified","$0.02"
"8/15/2011","2011","2011","D4","Unverified","$1.47"
"8/15/2011","2011","2011","D5","Unverified","$1.03"
"8/15/2011","2011","2011","D6","Unverified","$0.03"
"8/22/2011","2011","2010","D4","Unverified","$1.54"
"8/22/2011","2011","2010","D6","Unverified","$0.01"
"8/22/2011","2011","2011","D4","Unverified","$1.48"
"8/22/2011","2011","2011","D5","Unverified","$1.14"
"8/22/2011","2011","2011","D6","Unverified","$0.03"
"8/29/2011","2011","2010","D4","Unverified","$1.46"
"8/29/2011","2011","2010","D6","Unverified","$0.01"
"8/29/2011","2011","2011","D4","Unverified","$1.47"
"8/29/2011","2011","2011","D5","Unverified","$0.84"
"8/29/2011","2011","2011","D6","Unverified","$0.03"
"9/5/2011","2011","2010","D6","Unverified","$0.01"
