,Depreciable capital [MM$],Fixed capital investment [MM$],Working capital [MM$],Depreciation [MM$],Loan [MM$],Loan interest payment [MM$],Loan payment [MM$],Loan principal [MM$],Annual operating cost (excluding depreciation) [MM$],Sales [MM$],Tax [MM$],Incentives [MM$],Taxed earnings [MM$],Forwarded losses [MM$],Net earnings [MM$],Cash flow [MM$],Discount factor,Net present value (NPV) [MM$],Cumulative NPV [MM$]
2021,9.197341755681798,9.81049787272725,0.0,0.0,3.9241991490909007,0.31393593192727204,0.0,3.9241991490909007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.200234655563622,1.2100000000000002,-7.5022839332319835,-7.5022839332319835
2022,68.9800631676135,73.57873404545438,0.0,0.0,29.431493618181754,2.3545194894545403,0.0,33.35569276727266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.50175991672717,1.1,-51.15193590839989,-58.65421984163187
2023,36.78936702272719,39.241991490909,6.131561170454532,0.0,15.696796596363603,1.2557437277090882,0.0,49.052489363636255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.93249979270902,1.0,-30.93249979270902,-89.5867196343409
2024,0.0,0.0,0.0,14.412508804455394,0.0,3.9241991490909007,7.3102674091814395,45.666421103545716,23.0453034116112,45.18214947298769,0.08695466802532785,0.0,0.41406984773965644,0.0,0.32711517971432863,14.739623984169722,0.9090909090909091,13.399658167427019,-76.18706146691387
2025,0.0,0.0,0.0,24.851516980849617,0.0,3.6533136882836574,7.3102674091814395,42.00946738264794,24.20023005760532,51.63674225484308,0.0,0.0,0.0,0.0,-4.725272192793299,20.12624478805632,0.8264462809917354,16.633260155418444,-59.55380131149544
2026,0.0,0.0,0.0,18.03922213732486,0.0,3.3607573906118353,7.3102674091814395,38.059957364078336,24.20023005760532,51.63674225484308,0.0,0.0,0.0,-4.725272192793299,2.087022650731458,20.12624478805632,0.7513148009015775,15.121145595834944,-44.432655715660495
2027,0.0,0.0,0.0,13.151708310407079,0.0,3.044796589126267,7.3102674091814395,33.794486544023165,24.20023005760532,51.63674225484308,0.9106202564733531,0.0,4.336286935587396,-2.6382495420618413,6.063916221175884,19.215624531582964,0.6830134553650705,13.124530108314294,-31.308125607346202
2028,0.0,0.0,0.0,9.651138671152424,0.0,2.703558923521853,7.3102674091814395,29.18777805836358,24.20023005760532,51.63674225484308,2.1997722845498173,0.0,10.475106116903893,0.0,8.275333832354077,17.9264725035065,0.6209213230591549,11.130929024660817,-20.177196582685387
2029,0.0,0.07529488408614089,0.0,9.55968093750888,0.0,2.3350222446690863,7.3102674091814395,24.21253289385123,24.20023005760532,51.63674225484308,2.218978408614962,0.0,10.56656385054744,0.0,8.347585441932479,17.831971495355216,0.5644739300537772,10.065683030590089,-10.111513552095296
2030,0.0,0.0,0.0,9.493320796582143,0.0,1.9370026315080981,7.3102674091814395,18.839268116177887,24.20023005760532,51.63674225484308,2.2329140382095765,0.0,10.632923991474174,0.0,8.400009953264599,17.89333074984674,0.5131581182307065,9.18210793647099,-0.9294056156243067
2031,0.0,0.0,0.0,5.139378281184551,0.0,1.507141449294231,7.3102674091814395,13.03614215629068,24.20023005760532,51.63674225484308,3.147241966443071,0.0,14.986866506871767,0.0,11.839624540428696,16.97900282161325,0.4665073802097331,7.920830124884463,6.991424509260156
2032,0.0,0.0,0.0,0.8535555834334442,0.0,1.0428913725032545,7.3102674091814395,6.768766119612495,24.20023005760532,51.63674225484308,4.047264732970803,0.0,19.27268920462287,0.0,15.225424471652069,16.078980055085513,0.42409761837248455,6.8190571472204455,13.810481656480603
2033,0.0,0.0,0.0,0.8533642890400256,0.0,0.5415012895689997,7.3102674091814395,5.5762939155101775e-14,24.20023005760532,51.63674225484308,4.047304904793421,0.0,19.272880499016292,0.0,15.225575594222871,16.078939883262898,0.3855432894295314,6.199127373132863,20.009609029613465
2034,0.0,0.07735574746611937,0.0,0.8535555834334442,0.0,0.0,0.0,0.0,24.20023005760532,51.63674225484308,5.5824208888989055,0.0,26.58295661380431,0.0,21.000535724905404,21.77673556087273,0.3504938994813922,7.632612964705385,27.64222199431885
2035,0.0,0.0,0.0,0.8533642890400256,0.0,0.0,0.0,0.0,24.20023005760532,51.63674225484308,5.582461060721523,0.0,26.58314790819773,0.0,21.000686847476207,21.854051136516233,0.3186308177103565,6.963374183912113,34.60559617823096
