,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,-5.2070631083871035,-5.207052364461106,-5.207050617055529,-5.207049109480707,-5.207043923113488,-5.207043016087923,-5.20704185017631,-5.20704034402371,-5.2070384065077775,-5.207035906279216,-5.207032684384004,-5.207028491010618,-5.207023180577366,-5.207016340482994,-5.207007410761861,-5.206995975433486,-5.20698113235575,-5.206962176172198,-5.206937706467556,-5.206906215674209,-5.206865277037338,-5.206813416969041,-5.2067453310527725,-5.206658174249313,-5.2065458407883085,-5.206401414027738,-5.206215548029192,-5.205973999434107,-5.205665853396866,-5.205265336285521,-5.2047490810235075,-5.2040929590905876,-5.203233425372517,-5.202123815183313,-5.200712720217766,-5.198884343650647,-5.196526693450906,-5.193488474677309,-5.189575565245491,-5.184528781478505,-5.178025050333858,-5.169650797079228,-5.158848049087197,-5.144925913796101,-5.127002621436475,-5.1038797797011455,-5.074078371961505,-5.035714669682534,-4.986222137067486,-4.922433202382521,-4.840312730757574,-4.734376523424942,-4.597845522079808,-4.422053359392137,-4.19530830646444,-3.9031177493657054,-3.526846582814798,-3.0415318504984725,-2.4162975553014263,-1.6105846121467948
1,-5.584834296391776,-5.584840591868229,-5.584838829079928,-5.584837308228288,-5.58483207572786,-5.584831161069786,-5.584829984823955,-5.584828465320641,-5.584826510630947,-5.5848239882402595,-5.5848207377867425,-5.5848165072413,-5.584811149742677,-5.5848042490185605,-5.5847952401387175,-5.584783703453169,-5.584768728801905,-5.584749604603104,-5.584724917999438,-5.5846931480775766,-5.5846518465446024,-5.584599526847242,-5.584530837351565,-5.584442908034561,-5.584329578861627,-5.584183871938492,-5.58399635845953,-5.5837526686854915,-5.583441791459961,-5.583037724007099,-5.582516892705684,-5.581854955514586,-5.580987802148783,-5.5798683563618425,-5.578444754680277,-5.576600170935123,-5.574221622586961,-5.5711564731883385,-5.567208879974942,-5.562117361269031,-5.555555980839202,-5.5471074979862465,-5.536208992357771,-5.52216344836711,-5.5040812796847405,-5.480753465843051,-5.450687881007042,-5.411984095390864,-5.362052274756337,-5.297697813057823,-5.214849263502316,-5.107973756846306,-4.970232215624037,-4.792880685089855,-4.564124742796636,-4.269321230264197,-3.889685740914331,-3.400107015576438,-2.7691864527213994,-1.9565100188934252
2,-5.969235552711893,-5.969254911550408,-5.969253133130067,-5.969251598782975,-5.969246319182631,-5.969245396966556,-5.96924421019483,-5.9692426770935185,-5.969240704911769,-5.969238159948205,-5.969234880406589,-5.969230611998881,-5.969225206565085,-5.969218244087628,-5.9692091545776265,-5.969197514658106,-5.969182405990608,-5.969163110667267,-5.969138203142279,-5.969106148918868,-5.969064477750194,-5.969011689931833,-5.96894238562686,-5.96885366949337,-5.968739326148821,-5.968592315340814,-5.968403123847381,-5.968157253134962,-5.967843594187741,-5.9674359104661505,-5.966910418288137,-5.966242558321994,-5.965367643607053,-5.96423817982344,-5.962801840166847,-5.960940748475892,-5.958540914519432,-5.9554483352585095,-5.951465415381918,-5.946328332334176,-5.93970823397872,-5.931184145802604,-5.92018810726924,-5.9060168672225615,-5.887772878273566,-5.864236293073446,-5.833901636016492,-5.794851467855992,-5.744472246910249,-5.679541787767349,-5.595951690524927,-5.488119520955905,-5.34914521358472,-5.170205133496324,-4.939401407320773,-4.641955085200593,-4.258999202048031,-3.7649514416381464,-3.1285370039725535,-2.308551151994479
3,-6.360706105136387,-6.3607049404896685,-6.360703145999864,-6.360701597798183,-6.360696271078496,-6.360695339905789,-6.360694142455557,-6.360692595559911,-6.360690605632783,-6.360688037770458,-6.360684728720301,-6.360680421910075,-6.360674967830704,-6.360667942706087,-6.3606587714217255,-6.360647026762038,-6.3606317821603255,-6.360612313205706,-6.360587181572072,-6.360554838928024,-6.360512792845967,-6.360459529968566,-6.360389602199618,-6.3603000877624964,-6.360184715583912,-6.36003638197397,-6.3598454881540505,-6.35959740534696,-6.359280923868354,-6.358869572228912,-6.358339351804062,-6.357665481711038,-6.356782696056939,-6.355643069809432,-6.3541938045050586,-6.352315968108897,-6.349894541172091,-6.34677413565079,-6.342755378252974,-6.337572073506891,-6.330892409341118,-6.322291623228097,-6.311196646814267,-6.2968978987737785,-6.278489755343969,-6.254741400008811,-6.224133805970183,-6.1847322808433205,-6.133900370620381,-6.068385732265199,-5.984043575378209,-5.875241268499579,-5.7350164159906285,-5.554467244411455,-5.3215866894901325,-5.021466395200264,-4.6350003562445465,-4.136570946021351,-3.494251361540151,-2.66696729044898
4,-6.759262458846607,-6.759260956729918,-6.759259145961451,-6.759257583714856,-6.759252208587853,-6.759251268955836,-6.759250060613667,-6.759248499647853,-6.759246491620843,-6.759243900401771,-6.7592405612530655,-6.7592362152691265,-6.759230711580443,-6.759223622556732,-6.759214367852152,-6.759202516365505,-6.7591871331017614,-6.759167487061575,-6.759142126835954,-6.759109490009621,-6.759067061484174,-6.759013314140077,-6.758942750319903,-6.758852421678526,-6.758736000097642,-6.758586317275416,-6.758393687124055,-6.758143347801948,-6.757823987675522,-6.757408894457825,-6.756873851251868,-6.756193851781845,-6.755303036458741,-6.754153044384907,-6.752690596863047,-6.750795679995235,-6.748352228186633,-6.745203439988472,-6.741148128625369,-6.735917677308066,-6.729177255815145,-6.7204982379499825,-6.709302342607174,-6.694873533964568,-6.676297950353359,-6.652333578968836,-6.6214475748043355,-6.581687645355601,-6.530393341645677,-6.464282749682766,-6.379173357026787,-6.269381276694119,-6.1278807515670906,-5.945688951865989,-5.710689521284451,-5.407838220627312,-5.017714320447411,-4.514882377030759,-3.866720873142256,-3.031784587345328
5,-7.165013841639421,-7.165012312702956,-7.165010485356959,-7.165008908808161,-7.165003484385608,-7.165002536138076,-7.165001316704206,-7.16499974140946,-7.16499771494982,-7.164995099945017,-7.164991730144834,-7.164987344266947,-7.164981790057723,-7.164974635960746,-7.164965296302967,-7.1649533360266275,-7.164937811552932,-7.16491798517329,-7.164892392154854,-7.164859455740995,-7.16481663774519,-7.164762397031538,-7.1646911854735436,-7.164600027666609,-7.164482537401042,-7.164331480574816,-7.16413708218677,-7.163884444886989,-7.1635621532176685,-7.1631432496703695,-7.16260329506558,-7.16191705359104,-7.1610180610556,-7.159857512684638,-7.158381640722126,-7.156469329531774,-7.154003448146213,-7.150825755741977,-7.146733218736813,-7.1414547545334415,-7.134652459299403,-7.125893772174919,-7.114595103517644,-7.1000338444031,-7.081287743879642,-7.057103387118659,-7.025933856977886,-6.9858089374049115,-6.9340437439643665,-6.867326247386117,-6.781435520389678,-6.67063547851366,-6.5278358385164665,-6.343971225382788,-6.10681398102939,-5.801181488559109,-5.407671098789152,-4.900014893047171,-4.246028650500804,-3.403518659361012
6,-7.578474117140914,-7.578472041408574,-7.578470197182838,-7.578468606071141,-7.578463131476838,-7.578462174435245,-7.578460943708961,-7.57845935382727,-7.578457308602381,-7.578454669382296,-7.578451268377847,-7.578446841886802,-7.5784412362450695,-7.578434015900868,-7.578424589757773,-7.57841251872857,-7.578396850498052,-7.578376840525053,-7.578351010514567,-7.57831776910831,-7.5782745546170815,-7.5782198116307455,-7.578147940653622,-7.578055938721079,-7.577937360491475,-7.577784904873013,-7.577588706348706,-7.577333729622339,-7.577008453514253,-7.576585670912053,-7.576040716307929,-7.57534812019378,-7.574440802981542,-7.573269507892022,-7.571779969259566,-7.5698499500095835,-7.5673612344614725,-7.564154116484545,-7.5600236823898825,-7.554696339349817,-7.547831054488455,-7.53899126137496,-7.527587966297716,-7.5128918687922805,-7.493972177648686,-7.469563871224935,-7.438105707279249,-7.397609224680792,-7.345364688649951,-7.278029373008536,-7.191343273225911,-7.079517182908091,-6.935395146222547,-6.749827855263277,-6.510474341604095,-6.20201144202413,-5.804784403757665,-5.292489340098271,-4.632240347407674,-3.7820636627257187
7,-7.9996039157543635,-7.999601755755592,-7.99959989433296,-7.999598288384149,-7.999592762658708,-7.999591796669392,-7.999590554436779,-7.999588949690789,-7.999586885344357,-7.999584221449382,-7.999580788647776,-7.999576320771993,-7.999570662721254,-7.999563374871798,-7.9995538606004715,-7.999541676715296,-7.999525861997213,-7.9995056649445075,-7.9994795934406255,-7.999446041249499,-7.999402422731308,-7.999347167935085,-7.999274625012291,-7.999181762923257,-7.999062076066394,-7.998908195089854,-7.998710162240371,-7.998452801651794,-7.998124484429098,-7.997697749091088,-7.997147699524419,-7.9964486280970135,-7.995532828069813,-7.994350582145131,-7.992847117308031,-7.990899053642934,-7.988387070225343,-7.985149967767711,-7.980980916755399,-7.975603766417748,-7.968674295395289,-7.959751855564164,-7.948241946361634,-7.933408448601384,-7.9143118683803095,-7.889675356238584,-7.8579230721875035,-7.81704796234655,-7.764314954186361,-7.6963500639563165,-7.608853449210329,-7.495981761726938,-7.350512113882473,-7.1632096078679695,-6.921617807404161,-6.610270127160035,-6.209200377964848,-5.692219440737674,-5.0258933875921485,-4.167567939306494
8,-8.428558900635508,-8.42855669349133,-8.428554814547113,-8.42855319348169,-8.428547615660236,-8.42854664055453,-8.428545386598302,-8.42854376670681,-8.428541682877636,-8.42853899384177,-8.4285355286423,-8.42853101860004,-8.428525307150153,-8.428517950520046,-8.428508346455885,-8.4284960475824,-8.428480083609657,-8.428459695942834,-8.428433378383602,-8.428399509536277,-8.428355479359382,-8.428299703083695,-8.428226475521512,-8.428132737026502,-8.428011920599005,-8.427856587337601,-8.427656685510044,-8.42739689602513,-8.427065480237033,-8.42663471749114,-8.42607947671091,-8.425373807642842,-8.424449364549574,-8.423255960914446,-8.421738306788043,-8.419771857824628,-8.417236166976906,-8.41396851359167,-8.409760116135814,-8.404332217573227,-8.397337347825513,-8.38833069996474,-8.376712162545019,-8.361738668840218,-8.342461857843631,-8.317592828827273,-8.285540868269678,-8.244279978278115,-8.191049269881347,-8.122442911183597,-8.03412046914724,-7.920183430761298,-7.773340711948606,-7.584270207787526,-7.340397832363621,-7.026110868572104,-6.621454632002141,-6.099385647304487,-5.426895112436583,-4.5604895358087845
9,-8.86588420794348,-8.865881958536022,-8.865880061744207,-8.865878425280897,-8.865872794391393,-8.865871809998225,-8.865870544099138,-8.86586890877966,-8.865866805103877,-8.86586409045718,-8.865860592254634,-8.865856039258006,-8.865850273411397,-8.865842846715594,-8.865833151180965,-8.865820735171226,-8.865804619155199,-8.865784037313276,-8.865757469101567,-8.86572327768235,-8.865678828155112,-8.865622520658192,-8.865548595665615,-8.86545396439098,-8.865331997289758,-8.865175184611118,-8.864973378888479,-8.864711115129339,-8.864376542887541,-8.863941677492107,-8.863381148514904,-8.862668758547457,-8.861735510917583,-8.860530741123782,-8.858998632625145,-8.85701345489717,-8.854453613732204,-8.85115483869724,-8.846906359784867,-8.841426765022163,-8.83436527495185,-8.825272846202537,-8.81354365171785,-8.798427547592652,-8.77896714032336,-8.753861253221388,-8.721504022107737,-8.679850152415128,-8.626112458973367,-8.556852669620639,-8.467689008947232,-8.352666779368207,-8.204425444756396,-8.013554097711463,-7.7673588626490755,-7.450078273432766,-7.041495901536962,-6.5145319794985,-5.8354104308868955,-4.960878586189011
