Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price,Accessed 6/2/2022,,,,,
9/21/15,2015,2015,D3,Q-RIN,$0.95 ,,,,,,
9/21/15,2015,2015,D3,Unverified,$0.82 ,,,,,,
9/28/15,2015,2015,D3,Q-RIN,$0.77 ,,,,,,
9/28/15,2015,2015,D3,Unverified,$0.87 ,,,,,,
10/5/15,2015,2015,D3,Unverified,$0.84 ,,,,,,
10/12/15,2015,2014,D3,Q-RIN,$0.86 ,,,,,,
10/12/15,2015,2014,D3,Unverified,$0.74 ,,,,,,
10/12/15,2015,2015,D3,Q-RIN,$0.88 ,,,,,,
10/12/15,2015,2015,D3,Unverified,$0.86 ,,,,,,
10/19/15,2015,2015,D3,Unverified,$0.64 ,,,,,,
10/26/15,2015,2014,D3,Unverified,$0.85 ,,,,,,
10/26/15,2015,2015,D3,Q-RIN,$0.81 ,,,,,,
10/26/15,2015,2015,D3,Unverified,$0.86 ,,,,,,
11/9/15,2015,2014,D3,Unverified,$0.85 ,,,,,,
11/9/15,2015,2015,D3,Q-RIN,$1.01 ,,,,,,
11/9/15,2015,2015,D3,Unverified,$0.64 ,,,,,,
11/16/15,2015,2014,D3,Unverified,$0.88 ,,,,,,
11/16/15,2015,2015,D3,Q-RIN,$0.98 ,,,,,,
11/16/15,2015,2015,D3,Unverified,$1.01 ,,,,,,
11/23/15,2015,2014,D3,Unverified,$1.20 ,,,,,,
11/23/15,2015,2015,D3,Q-RIN,$1.11 ,,,,,,
11/30/15,2015,2015,D3,Q-RIN,$0.88 ,,,,,,
11/30/15,2015,2015,D3,Unverified,$0.91 ,,,,,,
12/7/15,2015,2015,D3,Q-RIN,$0.91 ,,,,,,
12/7/15,2015,2015,D3,Unverified,$1.10 ,,,,,,
12/14/15,2015,2014,D3,Unverified,$0.71 ,,,,,,
12/14/15,2015,2015,D3,Q-RIN,$0.99 ,,,,,,
12/14/15,2015,2015,D3,Unverified,$1.24 ,,,,,,
12/21/15,2015,2015,D3,Q-RIN,$0.92 ,,,,,,
12/21/15,2015,2015,D3,Unverified,$1.08 ,,,,,,
12/28/15,2015,2014,D3,Unverified,$1.10 ,,,,,,
12/28/15,2015,2015,D3,Q-RIN,$1.14 ,,,,,,
12/28/15,2015,2015,D3,Unverified,$0.75 ,,,,,,
1/4/16,2016,2014,D3,Unverified,$0.75 ,,,,,,
1/4/16,2016,2015,D3,Q-RIN,$1.09 ,,,,,,
1/11/16,2016,2014,D3,Unverified,$1.09 ,,,,,,
1/11/16,2016,2015,D3,Q-RIN,$1.23 ,,,,,,
1/11/16,2016,2015,D3,Unverified,$1.20 ,,,,,,
1/18/16,2016,2014,D3,Unverified,$1.07 ,,,,,,
1/18/16,2016,2015,D3,Q-RIN,$0.82 ,,,,,,
1/18/16,2016,2015,D3,Unverified,$1.21 ,,,,,,
1/25/16,2016,2014,D3,Unverified,$1.12 ,,,,,,
1/25/16,2016,2015,D3,Q-RIN,$1.05 ,,,,,,
1/25/16,2016,2015,D3,Unverified,$1.23 ,,,,,,
2/1/16,2016,2015,D3,Q-RIN,$1.26 ,,,,,,
2/1/16,2016,2016,D3,Q-RIN,$1.87 ,,,,,,
2/8/16,2016,2015,D3,Unverified,$1.27 ,,,,,,
2/8/16,2016,2016,D3,Q-RIN,$1.75 ,,,,,,
2/15/16,2016,2014,D3,Unverified,$1.14 ,,,,,,
2/15/16,2016,2015,D3,Q-RIN,$1.31 ,,,,,,
2/15/16,2016,2015,D3,Unverified,$1.30 ,,,,,,
2/15/16,2016,2016,D3,Q-RIN,$1.75 ,,,,,,
2/22/16,2016,2013,D3,Unverified,$0.52 ,,,,,,
2/22/16,2016,2014,D3,Unverified,$1.06 ,,,,,,
2/22/16,2016,2015,D3,Q-RIN,$1.31 ,,,,,,
2/22/16,2016,2015,D3,Unverified,$1.34 ,,,,,,
2/22/16,2016,2016,D3,Q-RIN,$1.74 ,,,,,,
2/22/16,2016,2016,D3,Unverified,$1.80 ,,,,,,
2/29/16,2016,2016,D3,Q-RIN,$1.64 ,,,,,,
2/29/16,2016,2016,D3,Unverified,$1.86 ,,,,,,
3/7/16,2016,2014,D3,Unverified,$1.13 ,,,,,,
3/7/16,2016,2015,D3,Q-RIN,$1.30 ,,,,,,
3/7/16,2016,2016,D3,Q-RIN,$1.93 ,,,,,,
