,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3832.616174461644,3536.0515692857334,3193.2845088225135,2834.202672377224,2547.4138333652527,2313.600529495561,2118.8572147565224,1954.572657049295,1813.7305182022255,1692.004265411326,1585.421939355919,1491.6255709620839,1408.165464173703,1333.681535247531,1266.5594009332403,1205.983107334739,1150.831269775376,1100.6016044350813,1054.4813242159628,1012.1569135714542
1,3716.671477628369,3813.027286152055,3556.0166904775897,3281.662298646461,2949.677434516959,2678.8701606456575,2453.445502052274,2263.160755086141,2100.1349133585886,1959.1393235672751,1835.7731769195464,1727.1257524151574,1630.5254409458196,,1466.5859000711946,1396.3607213381563,1332.5792671624845,1274.3456170189459,,1171.947783424812
2,3085.206711689826,3888.3480612969915,3796.2763898266317,3571.8379680967214,3351.9629918043215,3044.1203105730324,2788.0512036206846,2571.7331773184083,2386.5534923398086,2226.261479717542,2086.1361953548553,1962.615131863631,1852.8953511208824,1754.8016718728763,1666.5647850667062,1586.7835024534568,1514.2854661615404,1448.128556717528,,1331.756254778406
3,2761.7227182704632,3283.0526366338318,,,,3407.705685257167,3122.622115645525,2880.3368702503203,2672.943790233005,2493.4093315233877,2336.475757516075,2198.125998157204,2075.2455052693635,1965.3753714094207,1866.5548721262448,1777.195378775763,1696.00171396979,1621.9021292483503,1554.007059514157,1491.5673648103452
4,2542.865394586646,2902.0650597737363,3419.562950029678,3987.688566139225,3775.2925035512812,3594.4007968234678,3433.961249634483,3188.944580652268,,2760.5607674003136,,2433.6397800428094,2297.592980235707,2175.951542039009,2066.5426740899447,,1877.7159721992098,1795.6775543375675,1720.5076322641708,1651.3783254573873
5,,,,,,,3602.797354201146,3454.9010215398525,3245.717023654023,3027.711727467889,2837.14877225493,2669.153329421962,2519.940665698073,2386.5275180144026,2266.5306559974606,2158.0232011266717,2059.4304285880467,1969.4527941477415,1887.0083776734286,1811.1891247949409
6,2253.77378055787,2502.090930863934,2788.9536782171035,3143.285428873077,3690.308844330567,3934.265027931069,3761.5222571244904,,,,3087.4854249150762,2904.666861875693,2742.288368399926,2597.1034783231403,2466.5186524505184,2348.4370153905056,2241.144875956408,2143.228042734046,2053.5091149898635,1970.9999316771018
7,2149.8348731965466,2368.7551950910283,2611.4452310907714,2895.3521141889582,3290.4971358851667,3791.722135720769,3915.436340729134,3756.2144164003003,3614.7238159600397,3487.7995500388633,3337.8220837375356,3140.1803887185674,2964.63607622397,2807.67943394661,2666.5066532032547,2538.8508256971063,2422.859326968142,2317.003287962241,2220.009855407669,2130.8107356870646
8,2062.133227544568,2260.036988218018,2472.3197452925056,2711.279934998153,2993.2576948348533,3385.8278750220757,3885.8627129201363,3898.6737396259605,3751.6597550412735,3619.6316137906797,3501.096362006155,3375.6939207510795,3186.9837793114925,3018.2553938896913,2866.494649990961,2729.2646396463356,2604.5737746291766,2490.778536273252,2386.510592981371,2290.621542325831
9,1986.281953107744,2168.658183449245,2359.048201584573,2566.9410468080464,2803.269226291138,3083.9887200225703,3474.484443198671,3973.7014725317813,3884.254782174781,3747.7086452992658,3624.190771771666,3512.7393203691827,3407.875276879891,3228.831348857189,3066.4826513517723,2919.678449399794,2786.2882261565524,2664.553781021919,2553.011333844978,2450.43234592378
