,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3012.8026700233945,2782.178296812229,2611.683286869621,2467.348225166385,2362.7335338191524,2266.8505144732735,2176.6029438495975,2115.626103919508,2046.8232456185442,2001.120728858271,1959.9699316049418,1906.4266601855911,1873.6272570152191,,,,,,,
1,2801.1796565933587,2582.337934843171,2406.0313934732267,2268.992675179622,2167.632326209627,2067.2653530720886,1983.7570233753668,1922.6507228705384,1871.4291209505398,1809.7009348029144,1770.107730259045,1715.973068283882,1684.6782551693384,1655.7402167402445,1629.7367927099317,1587.248534581165,,,,
2,2644.3638607873595,2420.23787467137,2251.393040786218,2112.4090079116836,2012.0704415383211,1916.3162590928548,1846.9034168573885,1772.8287170192204,1721.950545062047,1660.2666293148886,1621.4687728401364,1586.1540548127236,1555.3196345290205,1509.2373041466797,1483.7076754621305,1461.0963800892446,1439.8168822098573,1420.484738603705,1375.0175816394526,
3,2512.249888096842,2294.61009150128,2124.8225508181026,2000.048697338519,1889.5853844187036,1807.1814523998037,1725.8037860220795,1666.509034758519,1601.431084877124,1556.8842293953112,1518.4224908329745,1466.9230703658995,1436.708051047652,1408.8296481391233,1383.664233426114,1336.2539098330085,1315.0998149964,1295.9768697432694,1279.0505836033294,1262.6028514150214
4,2415.370112734811,2199.6995182536753,2031.6855132365424,1898.7958300170817,1787.9740885828314,1706.951164690386,1638.2119278526511,1566.7561681682887,1516.2549735958567,1457.3906369691001,1418.8690961344898,1385.2416877565418,1354.619442016244,1304.219327798448,1280.1057436879635,1257.272034665202,1236.6825838161672,1218.320688380756,1200.886566148185,1157.971327357964
5,2326.7774733717797,2110.988588405676,1945.6065012649115,1823.5295024311054,1714.1496974091995,1621.1745171325613,1553.0387633261164,1495.9287160135077,1431.6313657802018,1388.8266617827212,1350.5813270440344,1317.1276588824187,1265.9241225568867,1238.6116261789045,1214.702781310663,1192.2258434894864,1171.8641366276931,1128.9370168784274,1111.5942692810045,1095.7041160747756
6,2250.5239666549473,2044.5676885766409,1881.3764627974117,1749.5368221788008,1652.679238010286,1560.1804071750532,1493.367150763118,1422.4398870827667,1373.7270788239482,1330.6195877059633,1273.729583156979,1240.1709036799712,1210.595757128342,1183.6555880159256,1159.1494470538535,1114.5026171023526,1094.3684132298504,1075.864990062981,1059.2677028286503,1043.589757899211
7,2193.0346604561264,1979.517355575169,1816.7672015883982,1695.955352129549,1588.3325401027969,1508.223616821619,1429.2332410101594,1372.228278432711,1323.7291461622544,1262.851569673952,1225.8288119466843,1192.5362980277273,1163.0872744776989,1136.4551645989145,1090.5476614553586,1069.2625875426086,1049.1273593380738,1030.7114900079853,1014.4788832533609,998.7728907290594
8,2142.945973169034,1931.0706188705835,1769.1239962104548,1638.7948530747294,1542.8209250365567,1451.2146323252828,1385.3904886177718,1328.8932078789794,1263.641319691081,1221.2149226082483,1184.3113389393457,1151.2560156901704,1101.7871731559628,1075.1803897705902,1051.1623259236674,1030.0781502320324,1010.1051679371386,991.8372807319994,975.6260469628451,933.6182283652179
9,2091.843022573026,1880.1580990423638,1727.9038128175084,1598.3961287258926,1491.7405318635037,1412.637359163733,1346.8360003824973,1274.7751585807916,1226.8256755149982,1184.6566681507295,1148.0553717785976,1095.8668908412085,1067.0416034065945,1040.6164699027163,1016.9254094599835,995.7173914566754,975.9627045614994,932.963355465151,916.7736974879773,901.4063140627388
10,2053.4378359182565,1842.9764276824667,1681.3707400151995,1563.2816190631468,1456.7195759792694,1378.4821492799338,1297.769374853037,1242.1852561865564,1194.2274999857038,1152.7538666087821,1097.6472881003212,1065.320092349948,1036.16927118778,1010.1295565620464,986.8643313989343,965.2871472754317,922.089903124833,904.6271069724104,888.0961493187637,872.8687735498019
11,2011.5490708598604,1809.8350060063863,1649.6032034551588,1520.8435070220994,1426.2737494074265,1347.8080385204776,1268.6387489995232,1212.9206609596272,1165.5334276414792,1106.5604718678255,1070.2301170957016,1037.831629281393,1009.1266838753869,983.0826340412146,937.0498343546105,916.1433315054392,896.6555038761843,878.8341081707713,862.8665727777957,847.8354344824519
12,1981.157928501663,1771.9437929764401,1620.4541049792729,1493.0510155820416,1398.3515296216547,1307.3606435952615,1242.146179509966,1187.0158357267273,1122.7057468331755,1081.8804916685795,1045.4354678119062,1013.398753176583,984.6315672441843,937.1412490340919,914.2440003081704,893.1388297639642,873.7900995602006,856.4181566413122,840.0800664589713,825.088585895407
13,1953.7302571475602,1745.3017535716785,1585.2461615506784,1467.4836205004858,1360.8139674230003,1283.0107213179572,1218.6489790900039,1163.3025789056985,1100.4277826435975,1059.166424849494,1023.3227993977488,991.181813108371,942.2278933741043,916.4660237143672,893.2216666046344,872.5456657831138,853.259450913696,835.7524265931688,819.8554525767372,804.8517111845468
14,1929.022497581909,1721.3426727096055,1562.0950060559119,1444.6353583858054,1338.648885144634,1261.438327061227,1197.0969257772053,1126.9203979765093,1079.95650771378,1038.8910062347518,1003.0911286270161,951.4421828971641,923.1847070284155,897.5358644278014,874.4856391378489,853.8232094021058,834.682802010873,817.126134945819,801.29046914579,759.5164100800184
15,1898.6952492760877,1699.3622371716895,1540.9129006685127,1424.0363022905613,1318.2797996400525,1241.830222232533,1162.8086580747865,1108.4364009844278,1061.2286800084828,1020.5345508386337,984.461733096992,934.1746994353547,905.753443979626,880.2808053754535,857.5781867572585,836.6230479512949,817.5958566665806,800.4202107594316,758.6098604349046,743.866591282162
16,1878.1448849035817,1670.6288075153793,1521.6941400099038,1393.4432116004728,1300.3373701282758,1223.4318854967353,1145.6281803827428,1091.0066627176357,1044.324058083161,1003.5313110775686,949.609750283885,917.9984898491205,890.1195049134008,864.5938960975839,841.6778727769934,821.1621231299558,802.144468894707,759.9330711584839,744.3606083558329,729.6520334586472
17,1859.58362118173,1652.6882277595403,1503.8152243941354,1376.9793465260154,1283.1817963170995,1193.4834467045098,1129.4406727470378,1075.29971283302,1028.597337921248,970.435909744881,934.8343196295573,903.4756616761507,875.4123348209849,850.1138545044049,827.558959636103,806.7789466360106,763.8996388146394,746.9451686472731,731.0788164423972,716.4416680133353
18,1842.300123275482,1636.207059210491,1477.1778083262038,1360.8215687003667,1268.001458657146,1178.3657458771104,1114.7493411200085,1060.6626919183946,1014.2842143082996,956.7073762022811,921.3670875746915,889.8234503698067,862.0475161838887,836.8431512708202,814.0757565619656,770.5063714102121,751.7207140849731,734.5451908842053,719.0123934867427,704.4728224417888
19,1818.5037214356535,1620.8165283939327,1462.0465079013356,1346.44609205845,1240.9524015092593,1164.5771789901244,1101.238611469556,1047.1467225778322,984.4272070834686,944.0171000740136,908.7656507769539,877.3141644329735,849.510782286458,824.4317995818011,779.4544553942412,759.2066840628595,740.4784981920917,723.2489776484657,707.7566751958542,693.2183635571215
