,0,1,2,3,4,5
0,25587926.11969444,34113774.79274046,42639623.771687225,51165609.50552471,59690853.72619578,68211051.58308169
1,25596044.016343456,34123154.97795626,42650415.234042875,51179264.97888341,59704522.17772235,68231676.78847869
2,25599769.892330762,34128614.29938693,42656355.107238114,51183987.88668143,59705113.11975307,68239208.07431592
3,25600654.718968615,34132523.418585524,42660425.39440808,51188362.5771088,59716324.91300315,68244293.86703654
4,25601208.85077347,34134902.064510636,42663299.06079026,51189473.103562,59715291.38933484,68240455.7907454
5,25601596.96851696,34135420.776820384,42665812.65541153,51194114.68581056,59722407.2839029,68250705.06920038
