Refinery,Product,Activation (s),Area (km2),Feedstock (Tons),Prod Volume,Unit,MSP ($),Market Price ($),Profit/Unit ($),Extra Revenue ($)
1_EtOH,EtOH,1.0,20365.05,3610619.0,326.4,MMgal,2.295,2.84,0.545,177.87
2_EtOH,EtOH,1.0,15835.64,3610619.0,326.4,MMgal,2.357,2.84,0.483,157.66
3_EtOH,EtOH,1.0,15347.17,3610619.0,326.4,MMgal,2.401,2.84,0.439,143.39
4_AA,AA,1.0,15969.45,1769737.0,434.52,10^6 kg,1.385,1.525,0.14,60.66
5_LA,LA,1.0,7507.46,795731.0,255.0,10^6 kg,1.472,3.1149999999999998,1.643,418.92
6_SA,SA,1.0,1376.1,124808.0,27.03,10^6 kg,1.255,3.26,2.005,54.2
7_KS,KS,1.0,7258.19,310428.0,20.4,10^6 kg,6.575,7.12,0.545,11.12
