nan,nan,nan,nan,nan,2.971093690958287681e+01,2.988476345979504600e+01,2.996855725851070318e+01,3.011629799691387177e+01,3.021419506064605542e+01,3.039529733654632437e+01,3.064661052325848445e+01,3.076146235634241322e+01,3.081210934800675716e+01,3.088515665906365015e+01,3.097037761673645662e+01,3.106344357813522095e+01,3.114539274187473339e+01,3.121896710932302099e+01,3.127516758681489151e+01,3.228593892474902560e+01,3.140240101113182902e+01,3.142998832489940852e+01,3.147363394678890103e+01,3.152015697237018799e+01,3.157629571802266355e+01,3.173475623577930449e+01,3.178514639968260980e+01,3.183731048088765547e+01,3.188574050461993536e+01,3.187517406925041641e+01,3.209451799337691824e+01,3.212512410764362869e+01,3.217076791523246726e+01,3.221861346609238552e+01,3.225356430430973376e+01,3.225920014171502714e+01,3.231415926995713761e+01,3.236645106327733146e+01,3.239842848487360527e+01,3.213641367474161825e+01,3.251388671734557789e+01,3.219651292089370997e+01,3.254409769710896683e+01,3.257795935112967811e+01,3.261053939724143902e+01,3.268501294278772207e+01,3.269569531106506588e+01,3.271844351116484262e+01,3.274068965676718079e+01,3.236567787098529436e+01,3.275269160328181783e+01,3.279015243630917098e+01,3.281260284396516624e+01,3.283337290342849712e+01,3.284165062499786814e+01,3.228506338891543237e+01,3.229863363223159212e+01,3.231179131539087734e+01,3.291045666090228394e+01
nan,1.441836999481411397e+01,nan,nan,nan,nan,nan,1.294074386134123600e+01,1.282760584883142130e+01,1.292462915384207633e+01,1.328462664190512754e+01,1.331721458159258731e+01,1.330473916015949953e+01,1.335745736418806651e+01,1.341381529841027920e+01,1.350062896444677918e+01,1.352218744503543491e+01,1.355441103960091453e+01,1.356987344069699652e+01,1.360433914440109149e+01,1.361103987495326706e+01,1.360334011525602449e+01,1.368868573019084423e+01,1.367963951856151539e+01,1.368667437002277509e+01,1.374435356053642110e+01,1.377075868869977526e+01,1.377488583878785278e+01,1.376484822275033082e+01,1.376649858910987234e+01,1.387244637167440509e+01,1.385251825941925752e+01,1.373838420877181221e+01,1.390122001774941829e+01,1.374435928183657474e+01,1.374507471370483280e+01,1.395481467665614872e+01,1.398593694549944821e+01,1.402832008292893917e+01,1.408082879875241034e+01,1.410071316563281840e+01,1.390507468873537888e+01,1.414232049671794655e+01,1.415875404495403700e+01,1.394792860710622939e+01,1.389896444583169810e+01,1.396953010629776237e+01,1.393528938514005233e+01,1.394895859189153597e+01,1.423884329350326894e+01,1.425748638538148683e+01,1.426164046449339473e+01,1.428233847976544624e+01,1.434704718688877279e+01,1.435324304059840728e+01,1.405549855833853101e+01,1.436496511678708288e+01,1.405626013830314847e+01,1.438636597865403033e+01,1.439447599506654640e+01
1.374948963848411942e+01,1.245091026301189707e+01,1.048309806010759360e+01,1.109751103787635174e+01,nan,nan,nan,nan,nan,8.477699605862447640e+00,8.507299163737451764e+00,8.516740819613797697e+00,8.564936732378416906e+00,8.599843630016371421e+00,8.633594134368642870e+00,8.671157394533919316e+00,8.690088946878422149e+00,8.705054509896045900e+00,8.720166562621610495e+00,8.735179958958227076e+00,8.721882116530332851e+00,8.783056106927903173e+00,8.768066309736981978e+00,8.760451712023746396e+00,8.838582760120949899e+00,8.850074843494283527e+00,8.838160288104660367e+00,8.841603209345297643e+00,8.847611841506324737e+00,8.818361157229361424e+00,8.836804002451994933e+00,8.851919156948447664e+00,8.863498619778233945e+00,8.881818109114320237e+00,8.885448974876307915e+00,8.893008065967356046e+00,8.900308797089568458e+00,8.949326552909999677e+00,8.947827051094240147e+00,8.947004955500986512e+00,8.947094366743080229e+00,8.947650848011374336e+00,8.948745365445734734e+00,8.959569377523362022e+00,8.973861620512680659e+00,8.988539106185530869e+00,9.002871871072159138e+00,9.016813536265701146e+00,9.029020508922538824e+00,9.036051186780259314e+00,9.051974479746803581e+00,9.100956637800774018e+00,9.102902096337960103e+00,9.104774289571254897e+00,9.115278316841294526e+00,9.123698349882278791e+00,9.129998036337092060e+00,9.138062053376785343e+00,9.146991171389924347e+00,9.157044196627268207e+00
nan,nan,1.072605328070012121e+01,9.956103391956109050e+00,9.456961256575628028e+00,nan,8.634175855502769892e+00,7.440796662405201545e+00,7.282921132000819142e+00,7.306427911670922093e+00,7.473718747805723872e+00,7.531609323119950794e+00,7.467889394398360636e+00,6.631684654523208877e+00,6.696792001030747343e+00,6.708749465530333467e+00,6.711400740851861002e+00,6.728820986323790443e+00,6.744467059093518735e+00,6.722315755398490467e+00,6.804565663466517478e+00,6.788765321112025575e+00,6.773832396879380546e+00,6.837057562854353066e+00,6.861753283104851775e+00,6.851167982650226307e+00,6.906182396242844135e+00,6.911690344046936829e+00,6.879246979708856458e+00,6.898556263501838259e+00,6.914279002712084399e+00,6.927253111129910934e+00,6.938379114302061446e+00,6.947968665374181008e+00,6.959707831480450579e+00,6.964104775591315466e+00,7.012968049101933943e+00,7.009544741804491608e+00,7.008637177984514466e+00,7.008471392637561692e+00,7.008942761180460224e+00,7.009917403711105166e+00,7.013958396149963193e+00,7.015762322048958666e+00,7.024149269974179433e+00,7.020862156872363258e+00,7.022512781437505680e+00,7.025861473209548791e+00,7.042939713584432049e+00,7.102952527047875719e+00,7.104386058185848007e+00,7.108518754426554231e+00,7.113409048584620642e+00,7.120576137549668339e+00,7.128415179176155192e+00,7.136924119283446721e+00,7.144067845438238251e+00,7.152783384421354640e+00,7.161633376927490247e+00,7.132560186672117553e+00
nan,nan,nan,9.519514280638933457e+00,8.948187092877429194e+00,8.433016194370697605e+00,8.015306189959069627e+00,7.642837232115964774e+00,7.408947664172555569e+00,7.294312606705926072e+00,6.380293886595754138e+00,6.203664422053447147e+00,6.206849176998765927e+00,6.119643077833794464e+00,6.378521482600241654e+00,6.231217108514767844e+00,6.358483141040913722e+00,6.294926006854419498e+00,5.665446568245020131e+00,5.653066454238180327e+00,5.712144502784681777e+00,5.695403951711240254e+00,5.680304223830948906e+00,5.757000577996960189e+00,5.776028109365435981e+00,5.765246243492009981e+00,5.769028372900251611e+00,5.774981162591709349e+00,5.754108116970576781e+00,5.767338291166996811e+00,5.781202428774712132e+00,5.793199017287475883e+00,5.803476076189558519e+00,5.812382461615530183e+00,5.820180954420870023e+00,5.827300493129056846e+00,5.871331548609055595e+00,5.870045370549347830e+00,5.867557059615308823e+00,5.869494241096137266e+00,5.870433563110939446e+00,5.887327616824356902e+00,5.888540557190644620e+00,5.890079077654039708e+00,5.892032752859558187e+00,5.894206438210614962e+00,5.896529647310240208e+00,5.894965954439359557e+00,5.897273721277566771e+00,5.940334673416463929e+00,5.943850218853032885e+00,5.949681185949331486e+00,5.956561821959178715e+00,5.963754014793336999e+00,5.972203934021224292e+00,5.980876943268896184e+00,5.993323679579139807e+00,5.997716011904497435e+00,5.967045924392227363e+00,5.982504896727752097e+00
nan,nan,nan,nan,8.610287664817086295e+00,8.129718901201918868e+00,7.689650216191719068e+00,7.325465105821774792e+00,7.093342494651647456e+00,6.827060234087417356e+00,6.570732481582552076e+00,6.394860819558818577e+00,6.386242450836050466e+00,6.142596402408173617e+00,5.689459445873394472e+00,5.543364592894051590e+00,5.502577406171956120e+00,5.471468951286160731e+00,5.436776968164132917e+00,5.388098546940335964e+00,5.414537407455531692e+00,5.348061022038800516e+00,5.369612245105300552e+00,5.058303734813383912e+00,5.060827049509772024e+00,5.061222965382089711e+00,5.065726313198149811e+00,5.072091370103680497e+00,5.049790017208509951e+00,5.066458774576473090e+00,5.080097056171840819e+00,5.091524948619456481e+00,5.105230934627521755e+00,5.110306526182530007e+00,5.117472529902387102e+00,5.167144959278169303e+00,5.165153326028425695e+00,5.164235204121232492e+00,5.163958069134109152e+00,5.164251513399026550e+00,5.165340398071553096e+00,5.189036666072364135e+00,5.187930207042207975e+00,5.189173820052070063e+00,5.190967520645561883e+00,5.193051385220863736e+00,5.186727400204959260e+00,5.192664111059595911e+00,5.236319696686585701e+00,5.228811644444046891e+00,5.224079465439777969e+00,5.227815681493501287e+00,5.235325935175762169e+00,5.241963566851022271e+00,5.250511857930337811e+00,5.259253179095709996e+00,5.268160995762868559e+00,5.235361841411084072e+00,5.249665117672259740e+00,5.264364119943916620e+00
nan,nan,nan,nan,8.398414007251787439e+00,7.906158313516966629e+00,7.486089401857275227e+00,7.086380687942757106e+00,6.860707771594579008e+00,6.614354017645723616e+00,6.361496612686346808e+00,6.181188987356780018e+00,6.017174352362069101e+00,5.867735185544306731e+00,5.757356115754140191e+00,5.622480730522176451e+00,5.619755330326912102e+00,5.433223089637595038e+00,5.083029918574350603e+00,5.071432099176284680e+00,5.018649746746939755e+00,4.960635845880654315e+00,4.936775383759047564e+00,4.936689111259727980e+00,4.970822832224484955e+00,4.882411465748090151e+00,4.860909396064787558e+00,nan,4.581067254706816527e+00,4.589801642014545990e+00,4.595798256639510804e+00,4.600223928241393700e+00,4.609188942900460439e+00,4.617985942644304842e+00,4.625488166026296533e+00,4.675888993364623047e+00,4.671299616105496710e+00,4.670254201187031384e+00,4.670071980835951209e+00,4.670588009653546813e+00,4.671740932343206865e+00,4.692256116283907375e+00,4.693515753875932006e+00,4.695093222853342851e+00,4.696988201390579043e+00,4.699054214100255145e+00,4.694284373386980569e+00,4.699650386683888570e+00,4.738605925904670002e+00,4.732070964864552920e+00,4.726888849593695596e+00,4.724760019312972403e+00,4.727052782455116287e+00,4.735290722710153943e+00,4.747136789799426992e+00,4.752852994020413391e+00,4.761838164026098497e+00,4.732071118817213318e+00,4.747024994719879487e+00,4.760956759737831945e+00
nan,nan,nan,nan,nan,7.732878628800009757e+00,7.344931008587813004e+00,6.941021969396764746e+00,6.718645057070653515e+00,6.434687335862672164e+00,6.186077444759369826e+00,6.010250336915802905e+00,5.852306927139352410e+00,5.749256178191190614e+00,5.602838976640011737e+00,5.468678589520035160e+00,5.349472356903496539e+00,5.244402522825634350e+00,5.150086429353235573e+00,5.203546690161522825e+00,5.076482567386225497e+00,4.743626987542079121e+00,4.698380611277922725e+00,4.690076390965934650e+00,4.667727935542376194e+00,4.642763199618082481e+00,4.573219455549591750e+00,4.517261944144586039e+00,4.523373824132692178e+00,4.522019795961293553e+00,4.510788816193630701e+00,4.501022815147825540e+00,4.491916548462080883e+00,4.304661040393678917e+00,4.305527291585772076e+00,4.352680108816109339e+00,4.343844455000161808e+00,4.336157985167918838e+00,4.329673583013069482e+00,4.322096639083547132e+00,4.319586764599735673e+00,4.315119207730289119e+00,4.316508832923371841e+00,4.317956797800986735e+00,4.319739981346326196e+00,4.321895683661688636e+00,4.318113057650540654e+00,4.322026446541817890e+00,4.370026114580215726e+00,4.365181444136835509e+00,4.360767599750892565e+00,4.358802535251625088e+00,4.345752788424793067e+00,4.349088563673896957e+00,4.357799271215436754e+00,4.366614345870576841e+00,4.375563798573121943e+00,4.348473292172711169e+00,4.364627023014589824e+00,4.376089368269154178e+00
nan,nan,nan,nan,nan,7.626098177451454241e+00,7.224104467752515468e+00,6.821027508625702396e+00,6.592844419887724072e+00,6.326648076453315284e+00,6.078825513986158668e+00,5.900508775641751136e+00,5.736013574315411923e+00,5.630993516456276105e+00,5.483811995587267063e+00,5.351706957857043534e+00,5.234265328557505370e+00,5.129421484916561802e+00,4.993144423945282462e+00,4.979963269281035387e+00,4.866948075020628650e+00,4.767799426084726733e+00,4.842853432388245949e+00,4.777826950810221796e+00,4.661777273286110024e+00,4.467282022344185144e+00,4.396705642317215279e+00,4.336716943547838099e+00,4.343353107079060749e+00,4.339707089693622954e+00,4.290122701946398998e+00,4.288810854845060305e+00,4.288453677976557188e+00,4.281588917532117122e+00,4.269567283999805340e+00,4.304079522476681241e+00,4.285290122881370678e+00,4.268877960627181167e+00,4.099521410048782677e+00,4.094177549135924465e+00,4.033363227875196522e+00,4.034350513272633165e+00,4.034635202277623733e+00,4.037086776343813632e+00,4.039015589157862962e+00,4.033151994044505528e+00,4.038408163310217347e+00,4.083975390389450233e+00,4.075516919911738256e+00,4.070130018342910994e+00,4.066989124809977874e+00,4.068293576054450966e+00,4.065316854309881656e+00,4.065359913614280174e+00,4.069951306190378482e+00,4.078914023280429291e+00,4.047908762434094143e+00,4.063627812410405937e+00,4.077485294039273178e+00,4.092417061476261608e+00
nan,nan,nan,nan,nan,7.527482531874519545e+00,7.126586666041913709e+00,6.726113787973004854e+00,6.495856044721920242e+00,6.236002785766884493e+00,5.989882782596776423e+00,5.813949540277386419e+00,5.650117065749162393e+00,5.548555884465548260e+00,5.394368855330506918e+00,5.261832266796499624e+00,5.144466514946616442e+00,5.038708510758186598e+00,4.905104361800480817e+00,4.887455895233968839e+00,4.776762761596094364e+00,4.674297584969558272e+00,4.661526511908345327e+00,4.607542785215477110e+00,4.531502003395322831e+00,4.553596348959377593e+00,4.489350414227012642e+00,4.396000747468256975e+00,4.320168716645593321e+00,4.189239200854355971e+00,4.154143126320557933e+00,4.147677197586290276e+00,4.149043650481170076e+00,4.143111837381195706e+00,4.092005297252965690e+00,4.131361989373278476e+00,4.118291366946881027e+00,4.150878811300177773e+00,4.091988472268341503e+00,4.077184597261259036e+00,4.017903261248706670e+00,4.011258491437637019e+00,4.005808189559993515e+00,3.816061036574754706e+00,3.817122690044340683e+00,3.810352512277131787e+00,3.816342568397302237e+00,3.860823217689171027e+00,3.855240452806906415e+00,3.848258973437360897e+00,3.845163456451187844e+00,3.843683838512288009e+00,3.843402831766607797e+00,3.843837503068443517e+00,3.844697122673510936e+00,3.852201643714555424e+00,3.822444806011147556e+00,3.836687127036300993e+00,3.850790217783405467e+00,3.863648269999319318e+00
