Stream,Type,Original unit,HXN unit,H_in (kJ),H_out (kJ),T_in (C),T_out (C)
0,Cold,F401_H,HX_10_0_cs,8871336.711946545,13961538.020833999,60.087745006905664,61.71807028900997
1,Cold,H_M202,HX_11_1_cs,279649.9129141991,4872706.416925988,26.85000000000008,99.0000000000033
2,Cold,H_M201,HX_11_2_cs,284913.14354212675,5057990.132645497,26.85000000000008,99.0000000000033
3,Cold,M401_H,HX_10_3_cs,9468759.501817403,15460517.887899814,50.44928486628123,80.00000000040848
4,Cold,D403 - boiler,Util_4_hs,5890336.532146075,20511896.125976313,152.31673615524505,164.19586218060084
5,Cold,R401_H,HX_10_5_cs,7888415.4735303,35174982.70398359,29.891438354842137,46.85000000000019
6,Cold,U101 - unknown,HX_10_6_cs,40012182.49478557,112261691.42750582,50.00000000000006,99.94973585104526
7,Cold,D401 - boiler,Util_7_hs,37304620.78215814,181321916.95466548,118.19091866802955,140.93662276394656
8,Cold,D402 - boiler,HX_10_8_cs,42103600.9063247,54880218.77303547,80.18012264544564,143.45439673414154
