2.874824334616695509e+01,3.004158371373168279e+01,2.994788773438463636e+01,3.133452154934979461e+01,3.145401539457916584e+01,3.184543684948333109e+01,3.218679934037838564e+01,3.144486646729134804e+01,3.259680452929364947e+01,3.280831690325855732e+01,3.207018257474013012e+01,3.318298360422819826e+01,nan,3.341496170985975311e+01
7.848040669687248894e+00,6.320785365626593766e+00,6.023640250527895645e+00,5.858151841083278910e+00,5.647591369682301021e+00,5.600544681237407119e+00,5.571770293040747113e+00,5.634402658342152037e+00,5.596868185647904781e+00,5.569559652014779871e+00,5.603262457167545563e+00,5.617592457165613951e+00,5.594289610870742280e+00,5.601032985857765212e+00
nan,5.882091934495453422e+00,5.213570226459731671e+00,4.720760436791653802e+00,4.466828172761089455e+00,4.273513791931907946e+00,4.356404622648218705e+00,4.341246020923652083e+00,4.317028853230807428e+00,4.194716178239686677e+00,4.210291807277879883e+00,4.198288680401027761e+00,4.185302460804974700e+00,4.188140996738246358e+00
nan,nan,5.076475016786480943e+00,4.532897109798144086e+00,4.363084165658573710e+00,4.071486498741390569e+00,3.948892162859332089e+00,3.866652893655218470e+00,3.821763994678739174e+00,3.770963562841688432e+00,3.792428618413609342e+00,3.692422284366706720e+00,3.756950355996475643e+00,3.672675826797446419e+00
nan,nan,nan,4.492492275931984302e+00,4.298890046112048502e+00,4.007836817924856021e+00,3.883276018578301958e+00,3.798273994050378910e+00,3.679391219266031410e+00,3.585607193666277670e+00,3.536805689599423985e+00,3.415054115069241281e+00,3.455563582946725276e+00,3.493718082353185483e+00
nan,nan,nan,nan,4.258520180315448656e+00,3.968972920779611613e+00,3.843653989175376040e+00,3.757586312699455089e+00,3.638458812717459523e+00,3.609221649022309908e+00,3.495216549729449618e+00,3.375249397991584299e+00,3.361062170170012742e+00,3.320934429900490592e+00
nan,nan,nan,nan,nan,3.942338154950287166e+00,3.817043986164247560e+00,3.730480218164294648e+00,3.611470464996842100e+00,3.580748047431337788e+00,3.468017162387829089e+00,3.349414111994491350e+00,3.331357070185589020e+00,3.290742797651298623e+00
7.559478128357580928e+00,nan,nan,nan,nan,nan,nan,3.660298282056219765e+00,3.611819670054916998e+00,3.552694681203280691e+00,3.452299328822006963e+00,3.329879592297193991e+00,3.311001664735790051e+00,3.269108903426805490e+00
7.562037819830570662e+00,nan,nan,nan,nan,nan,nan,nan,3.532279409776505119e+00,3.562876284440417596e+00,3.427379888925059959e+00,3.320200785734238380e+00,3.293628829807766500e+00,3.253682868108908277e+00
7.564467038412259647e+00,nan,nan,nan,nan,nan,nan,nan,nan,3.492539843230733965e+00,3.439330025898806209e+00,3.300182309721713558e+00,3.286455956864568151e+00,3.240682021793420020e+00
7.566966807357781377e+00,5.908911007238916824e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.267071659110956539e+00,3.292434533415494968e+00,3.226874996651662997e+00
7.569480863376097268e+00,5.910785444734454330e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.234538954976966529e+00,3.240056317169160316e+00
7.571959779417187342e+00,5.912683011018162738e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.574243909011005194e+00,5.914560512533425296e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
