0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.76E+00,1.19E+01,2.57E+01,4.16E+01,5.80E+01,7.19E+01,8.16E+01,8.86E+01,9.30E+01,9.61E+01,9.78E+01
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E-01,1.19E+01,3.84E+01,6.27E+01,8.09E+01,9.17E+01,9.70E+01,9.95E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E+00,1.58E+01,4.57E+01,7.45E+01,9.20E+01,9.86E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.91E+00,3.58E+01,6.99E+01,9.11E+01,9.89E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,0.00E+00,0.00E+00,0.00E+00,8.06E+00,3.62E+01,7.21E+01,9.29E+01,9.97E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,0.00E+00,0.00E+00,0.00E+00,9.14E+00,3.98E+01,7.52E+01,9.45E+01,9.98E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,0.00E+00,0.00E+00,1.03E+01,4.23E+01,7.72E+01,9.53E+01,9.99E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,0.00E+00,1.10E+01,4.33E+01,7.85E+01,9.61E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,1.18E+01,4.57E+01,8.01E+01,9.67E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,4.73E+01,8.09E+01,9.69E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,8.15E+01,9.68E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,9.66E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.75E+01,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02,1.00E+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+02,1.00E+02,1.00E+02
