Stream,Type,Original unit,HXN unit,H_in (kJ),H_out (kJ),T_in (C),T_out (C)
,,,,,,,
0,Cold,F401_H,HX_12_0_cs,8.87E+06,8.93E+06,60.08774501,
,,,,,,,
0,Cold,F401_H,HX_14_0_cs,8.93E+06,9.93E+06,,
,,,,,,,
0,Cold,F401_H,HX_0_15_hs,9.93E+06,1.40E+07,,
,,,,,,,
0,Cold,F401_H,Util_0_hs,1.40E+07,1.40E+07,,80
,,,,,,,
1,Cold,H_M201,HX_10_1_cs,2.85E+05,2.47E+06,26.85,
,,,,,,,
1,Cold,H_M201,HX_11_1_cs,2.47E+06,4.63E+06,,
,,,,,,,
1,Cold,H_M201,HX_12_1_cs,4.63E+06,5.52E+06,,
,,,,,,,
1,Cold,H_M201,HX_14_1_cs,5.52E+06,5.82E+06,,
,,,,,,,
1,Cold,H_M201,Util_1_hs,5.82E+06,1.14E+07,,99
,,,,,,,
2,Cold,M401_H,HX_11_2_cs,9.47E+06,1.13E+07,50.45056125,
,,,,,,,
2,Cold,M401_H,HX_12_2_cs,1.13E+07,1.49E+07,,
,,,,,,,
2,Cold,M401_H,Util_2_hs,1.49E+07,2.15E+07,,80
,,,,,,,
3,Cold,H_M202,HX_10_3_cs,5.16E+05,4.48E+06,26.85,
,,,,,,,
3,Cold,H_M202,HX_11_3_cs,4.48E+06,8.48E+06,,
,,,,,,,
3,Cold,H_M202,HX_12_3_cs,8.48E+06,1.03E+07,,
,,,,,,,
3,Cold,H_M202,HX_14_3_cs,1.03E+07,1.06E+07,,
,,,,,,,
3,Cold,H_M202,Util_3_hs,1.06E+07,2.07E+07,,99
,,,,,,,
4,Cold,D403 - boiler,Util_4_hs,5.17E+06,2.43E+07,120.0175583,141.6780308
,,,,,,,
5,Cold,R401_H,HX_10_5_cs,7.89E+06,2.59E+07,29.89139074,
,,,,,,,
5,Cold,R401_H,HX_11_5_cs,2.59E+07,3.52E+07,,
,,,,,,,
5,Cold,R401_H,Util_5_hs,3.52E+07,3.52E+07,,46.85
,,,,,,,
6,Cold,F301 - first effect,HX_11_6_cs,4.00E+07,4.95E+07,50,
,,,,,,,
6,Cold,F301 - first effect,HX_16_6_cs,4.95E+07,5.43E+07,,
,,,,,,,
6,Cold,F301 - first effect,HX_6_12_hs,5.43E+07,8.51E+07,,
,,,,,,,
6,Cold,F301 - first effect,HX_6_14_hs,8.51E+07,1.02E+08,,
,,,,,,,
6,Cold,F301 - first effect,Util_6_hs,1.02E+08,1.29E+08,,99.94889992
,,,,,,,
7,Cold,D401 - boiler,Util_7_hs,3.73E+07,1.81E+08,118.1910292,140.9366276
,,,,,,,
8,Cold,D402 - boiler,HX_10_8_cs,-2.97E+05,8.75E+06,24.45172676,
,,,,,,,
8,Cold,D402 - boiler,HX_11_8_cs,8.75E+06,1.83E+07,,
,,,,,,,
8,Cold,D402 - boiler,HX_16_8_cs,1.83E+07,1.87E+07,,
,,,,,,,
8,Cold,D402 - boiler,HX_8_14_hs,1.87E+07,3.13E+07,,
,,,,,,,
8,Cold,D402 - boiler,HX_8_12_hs,3.13E+07,3.13E+07,,
,,,,,,,
8,Cold,D402 - boiler,Util_8_hs,3.13E+07,1.65E+08,,81.20012609
,,,,,,,
9,Cold,F401 - first effect,HX_11_9_cs,3.43E+07,5.04E+07,46.85,
,,,,,,,
9,Cold,F401 - first effect,HX_16_9_cs,5.04E+07,5.38E+07,,
,,,,,,,
9,Cold,F401 - first effect,HX_9_13_hs,5.38E+07,1.04E+08,,
,,,,,,,
9,Cold,F401 - first effect,HX_9_15_hs,1.04E+08,1.11E+08,,
,,,,,,,
9,Cold,F401 - first effect,HX_9_12_hs,1.11E+08,1.11E+08,,
,,,,,,,
9,Cold,F401 - first effect,Util_9_hs,1.11E+08,2.42E+08,,100.3601133
,,,,,,,
10,Hot,D402 - condenser,HX_10_8_cs,1.82E+08,1.73E+08,46.07930582,
,,,,,,,
10,Hot,D402 - condenser,HX_10_5_cs,1.73E+08,1.55E+08,,
,,,,,,,
10,Hot,D402 - condenser,HX_10_3_cs,1.55E+08,1.51E+08,,
,,,,,,,
10,Hot,D402 - condenser,HX_10_1_cs,1.51E+08,1.49E+08,,
,,,,,,,
10,Hot,D402 - condenser,Util_10_cs,1.49E+08,6.34E+06,,45.61921818
,,,,,,,
11,Hot,D401 - condenser,HX_11_8_cs,1.47E+08,1.37E+08,62.85785139,
,,,,,,,
11,Hot,D401 - condenser,HX_11_9_cs,1.37E+08,1.21E+08,,
,,,,,,,
11,Hot,D401 - condenser,HX_11_5_cs,1.21E+08,1.12E+08,,
,,,,,,,
11,Hot,D401 - condenser,HX_11_6_cs,1.12E+08,1.02E+08,,
,,,,,,,
11,Hot,D401 - condenser,HX_11_3_cs,1.02E+08,9.84E+07,,
,,,,,,,
11,Hot,D401 - condenser,HX_11_2_cs,9.84E+07,9.66E+07,,
,,,,,,,
11,Hot,D401 - condenser,HX_11_1_cs,9.66E+07,9.44E+07,,
,,,,,,,
11,Hot,D401 - condenser,Util_11_cs,9.44E+07,1.25E+07,,50.63098552
,,,,,,,
12,Hot,M304_H,HX_6_12_hs,1.02E+08,7.15E+07,88.23506197,
,,,,,,,
12,Hot,M304_H,HX_8_12_hs,7.15E+07,7.15E+07,,
