2.16E+03,1.52E+03,1.24E+03,1.10E+03,1.01E+03,9.61E+02
2.72E+03,1.83E+03,1.46E+03,1.27E+03,1.16E+03,1.09E+03
3.27E+03,2.15E+03,1.69E+03,1.45E+03,1.30E+03,1.21E+03
3.83E+03,2.47E+03,1.91E+03,1.62E+03,1.45E+03,1.34E+03
4.38E+03,2.78E+03,2.13E+03,1.80E+03,1.59E+03,1.46E+03
4.93E+03,3.10E+03,2.35E+03,1.97E+03,1.74E+03,1.59E+03
,,,,,
2.38E+00,1.67E+00,1.36E+00,1.21E+00,1.12E+00,1.06E+00
2.99E+00,2.02E+00,1.61E+00,1.40E+00,1.27E+00,1.20E+00
3.61E+00,2.37E+00,1.86E+00,1.60E+00,1.43E+00,1.34E+00
4.22E+00,2.72E+00,2.10E+00,1.79E+00,1.60E+00,1.47E+00
4.83E+00,3.07E+00,2.35E+00,1.98E+00,1.75E+00,1.61E+00
5.43E+00,3.41E+00,2.59E+00,2.17E+00,1.91E+00,1.75E+00
,,,,,
