3.120599861912074502e+01,3.098889386421222625e+01,3.205199651268870298e+01,3.215512652727009879e+01,3.261734437430897060e+01,3.227895093330870679e+01,3.333118325302314844e+01,3.356903699024547905e+01,3.371614312733964880e+01,3.388494183331002318e+01,3.428725487593938226e+01,3.435060669158831104e+01,nan,3.464864578708118614e+01,nan
1.072752432736924000e+01,7.863806782271712592e+00,6.831098757938661947e+00,6.402936980597285554e+00,6.235448346001283504e+00,6.195939575152930701e+00,6.104341100734112402e+00,6.081175663608826554e+00,6.099516366431274150e+00,6.051531905770476172e+00,6.017901912226777839e+00,6.052178380054193951e+00,6.063008987918362180e+00,6.031753656581702039e+00,6.035116447819070196e+00
nan,7.251353045071700976e+00,5.767095867977245049e+00,5.316881915962667904e+00,4.883785925335867972e+00,4.881533393660976827e+00,4.749597704151168998e+00,4.760284183750383313e+00,4.697082300599067395e+00,4.535626564623099100e+00,4.557457343508811931e+00,4.497434411044496372e+00,4.432888153285295729e+00,4.471996141939503566e+00,4.470863358811103083e+00
nan,nan,5.723440080213949344e+00,5.167325471550624272e+00,4.749380445456626632e+00,4.536520791494701221e+00,4.307320365810525686e+00,4.218543279237124466e+00,4.133473153434790603e+00,4.057216903032416333e+00,4.098854745680917233e+00,4.017580033838550335e+00,3.963847884297789115e+00,3.899388490250436767e+00,3.897775942013902650e+00
nan,nan,nan,5.116050567851528008e+00,4.756134905636296040e+00,4.461244086327825542e+00,4.233599539778599485e+00,4.140827155635967927e+00,3.973764870984009878e+00,3.853075995287706501e+00,3.799627394455770357e+00,3.759433730727685052e+00,3.686007942664087267e+00,3.697283006243816228e+00,3.675695448401126164e+00
nan,nan,nan,nan,4.710765658386628196e+00,4.415026652824575848e+00,4.188334040627971433e+00,4.093987858416318737e+00,3.928079467427112448e+00,3.807417847247308362e+00,3.751624142345881818e+00,3.646021131959179762e+00,3.525131653547605382e+00,3.504934290184242851e+00,3.463946815159638870e+00
nan,nan,nan,nan,nan,4.383574706844347801e+00,4.157667345638142109e+00,4.060795807328177354e+00,3.897279312909386562e+00,3.777603587679044139e+00,3.719474900541195339e+00,3.615213293980311438e+00,3.495406378668778569e+00,3.470297225237902072e+00,3.428608091124051072e+00
nan,nan,nan,nan,nan,nan,4.135522494136132821e+00,4.037770093794669890e+00,3.874690855448901683e+00,3.754641150528317706e+00,3.696914098838701257e+00,3.594288951238225227e+00,3.474342072179656071e+00,3.445617918597327911e+00,3.403349500587591336e+00
nan,nan,nan,nan,nan,nan,nan,nan,3.858046896476932996e+00,3.737385124266455527e+00,3.679429508437832119e+00,3.576286356842377057e+00,3.457737359369924768e+00,3.426661722147823497e+00,3.384434335476970368e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,3.724568296358106156e+00,3.665267468727788192e+00,3.563032771538604759e+00,3.445635894660455723e+00,3.412249743310638017e+00,3.369412410061104257e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.654620247357254215e+00,3.552033918185138361e+00,3.435258722718073088e+00,3.401503517307632229e+00,3.358312313952618311e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.428810418342654209e+00,3.395345015983553427e+00,3.353123942165825433e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.383181475044914954e+00,3.342062784282112453e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
