nan,nan,3.278428538249735169e+01,3.318517233787957821e+01,3.366094591403088998e+01,3.353003286879084044e+01,3.370577856862806243e+01,3.447775215290688777e+01,3.397845254428079187e+01,3.528996433101669083e+01,3.427742789146238067e+01,3.513212633320716805e+01,3.553802771795960069e+01,3.565446757744902584e+01,3.554530525098146398e+01,3.577307687697891225e+01,3.595434144730577941e+01,3.611139569989386189e+01,3.626685801182730273e+01,3.569354248359633175e+01,2.277037052023291608e+01,3.668687225509662397e+01,nan,3.683560041398159512e+01,3.601885374843966048e+01,3.707048938801867877e+01,nan,3.718245517717761572e+01,3.725283146331781836e+01,3.725263469469531685e+01,3.733100566841692114e+01,3.643274052167673460e+01,3.746702385575922278e+01,nan,3.656900146917743655e+01,3.761225732670054356e+01,nan,nan,3.694061284714746307e+01,3.800929191187327660e+01,3.803605250758952394e+01,3.806289269242441264e+01,3.702392048489980425e+01,3.809706291899829012e+01,3.812122238970365373e+01,3.815525423777305036e+01,3.723230304942156010e+01,3.830232318551769310e+01,3.736386811056500079e+01,3.842655480342439489e+01
nan,1.492123690998277752e+01,1.336807481303395662e+01,1.318770654569358314e+01,nan,nan,nan,nan,1.282578817835671359e+01,1.292917558935469557e+01,1.204901690186578911e+01,nan,1.208779442908929980e+01,1.322563196750120973e+01,1.217690445869525462e+01,1.221183230082566595e+01,1.336537419172810282e+01,1.226141026884651986e+01,1.228727415966659997e+01,1.318433906194423599e+01,1.325981376610023332e+01,1.328099581608331547e+01,1.328555130230685144e+01,1.332420909399216313e+01,1.331062552132656229e+01,1.388043790584776005e+01,1.341029571500098783e+01,1.400252579100328454e+01,1.368760002567819356e+01,1.351858317683894839e+01,1.414512560270175712e+01,1.423862757154860681e+01,1.383296243116083346e+01,1.423311166223621882e+01,1.426126744940466651e+01,1.428905784190243367e+01,1.430774816114020531e+01,1.433420337461971528e+01,1.389563743823305941e+01,1.430365244326035068e+01,1.369266384888775256e+01,1.434040382543707892e+01,1.440936016761638427e+01,1.441855720645044947e+01,1.376463257942706697e+01,1.376778288707727427e+01,1.446581331647081115e+01,1.400470279976120125e+01,1.450630029870846727e+01,1.453015877425951352e+01
nan,1.362115973322726248e+01,1.155965970729181613e+01,nan,nan,nan,7.534955142377635084e+00,8.600568080623869349e+00,7.812122823674408245e+00,7.741808615655537906e+00,7.771335633805640519e+00,7.767759070859086457e+00,7.788515308247161428e+00,7.782978560096543319e+00,7.767437310059364108e+00,7.746921497147305047e+00,7.786002235376223268e+00,7.728067351289436004e+00,9.178006161702544574e+00,7.745320267790464897e+00,9.085474720994016096e+00,8.503373279015985275e+00,7.321754707267317031e+00,7.325997878270627872e+00,7.376569291998062106e+00,7.430241897010864349e+00,7.464681140501991941e+00,7.489152102617614659e+00,7.527520542027999362e+00,7.567529730519213516e+00,7.595633427172485241e+00,8.897114380256798682e+00,7.644130035690839264e+00,7.654542919352296693e+00,8.717080121475660803e+00,8.911555404489668319e+00,7.720055502761363542e+00,7.742740034503869495e+00,8.963844681243438473e+00,8.981981912052546591e+00,9.047271987213573397e+00,8.829707621489539804e+00,9.188471070706556887e+00,9.197104565456214686e+00,9.211255579038478913e+00,9.222833310510957006e+00,9.239319731068416530e+00,9.197741649655224450e+00,9.221108467384084406e+00,9.247004095359486087e+00
1.566639943004355118e+01,1.299611741000468434e+01,1.114073806084920193e+01,9.773942469424962809e+00,8.725620604042832795e+00,7.895352782145415027e+00,7.171067779777732021e+00,6.649891957658228492e+00,6.440399295803050705e+00,6.523276459295136220e+00,6.485474462093314685e+00,6.462444073898489627e+00,nan,5.812033132723505524e+00,5.934243143229362971e+00,5.823238263805285087e+00,5.893179387773697542e+00,5.836536748850251755e+00,5.867049908148395332e+00,5.865944476703607080e+00,5.850383110204198545e+00,5.845618217269977102e+00,5.813964927177634578e+00,5.818597862049955438e+00,5.821569078872768088e+00,5.824503701309579284e+00,5.860283894593687926e+00,5.891460151373917320e+00,5.921873006709210685e+00,6.003867263151263955e+00,6.014273103681931687e+00,6.022156227929808203e+00,6.037042808982103992e+00,6.050429527085888992e+00,6.068982674450181136e+00,6.086635155683921994e+00,6.098793572518245831e+00,6.111207928837356640e+00,6.128712491201856238e+00,6.153528170317992263e+00,6.167291230951135184e+00,6.174831671521354259e+00,6.185552670021152721e+00,6.191542954761863449e+00,6.202614536248748145e+00,6.214454179409138135e+00,6.203747097195936533e+00,6.217253496910631227e+00,6.229946526671674256e+00,6.237440670020163225e+00
1.528221218213534627e+01,1.263500323170121931e+01,1.079716492387723825e+01,9.446325349477461941e+00,8.408620745698719645e+00,7.587700742737281345e+00,6.916961815189857532e+00,6.367400872920249810e+00,5.902976173950085226e+00,5.598285822794733413e+00,5.406302056470954298e+00,5.462526263051130648e+00,5.359125542403972098e+00,5.232729621345651339e+00,5.177258319773139661e+00,5.178817024047080331e+00,5.167122339460206604e+00,4.959289711012258905e+00,5.021914613754601575e+00,5.003331137341116452e+00,4.974445786327982510e+00,4.957255443798503691e+00,4.897689777791297772e+00,4.906466844078295253e+00,4.909563416560326132e+00,4.909390981873372972e+00,4.910583270256283939e+00,4.943573656548575279e+00,5.020277845939339123e+00,5.052096573285571601e+00,5.063873539531986268e+00,5.072735793746038446e+00,5.085149900065523809e+00,5.097996983736442722e+00,5.106709673938482297e+00,5.119396227643997044e+00,5.135802881149276189e+00,5.139301319612422425e+00,5.211667884519366467e+00,5.204021326642935819e+00,5.198553085604345370e+00,5.201582150117829428e+00,5.206991610410931060e+00,5.207487577805608225e+00,5.214820917598967043e+00,5.223036640006615272e+00,5.174247632947380993e+00,5.190708308949728789e+00,5.205490189405272083e+00,5.215715480908066581e+00
nan,1.240192291371894662e+01,1.441877053307654677e+01,9.232721011875430150e+00,8.201871974838338630e+00,7.387357081982685258e+00,nan,6.166663351936662707e+00,5.721252059867421025e+00,5.326382511138698206e+00,4.991294725703726343e+00,4.837275077435254644e+00,4.826546204199983592e+00,4.792289439986850752e+00,4.801930024426755317e+00,4.693413311569925028e+00,4.645667959708045913e+00,4.548885125997529144e+00,4.599641716145046466e+00,4.641997067428696333e+00,4.579455462528038368e+00,4.416716468585828892e+00,4.364862029129823462e+00,4.372387573218897039e+00,4.374750399473979812e+00,4.373900810253624094e+00,4.371414022420270662e+00,4.382324998058779286e+00,4.480694339530698400e+00,4.491367268368503751e+00,4.505369843728024293e+00,4.513001828172934715e+00,4.525345620205971642e+00,4.538255966890308635e+00,4.547598256940971417e+00,4.560426706604151725e+00,4.564323837842440668e+00,4.579494299919644185e+00,4.645403827572410549e+00,4.641204588991655555e+00,4.640880144704897958e+00,4.642254324989483649e+00,4.647731837646751352e+00,4.650313182198336115e+00,4.657934285081315906e+00,4.609689459925640165e+00,4.622980183314682634e+00,4.638695630310097684e+00,4.652483508225698117e+00,4.661004648817847595e+00
nan,nan,1.042101211291105933e+01,1.207578938346457065e+01,8.056953078672426827e+00,7.246995886997227743e+00,6.579846115311002386e+00,6.038810800706108317e+00,5.589386028640648263e+00,5.202180624276490306e+00,4.866325482877650543e+00,4.668764786720519311e+00,4.494220164663210504e+00,4.435957020793500405e+00,4.463743353779275225e+00,4.387627153948217895e+00,4.336361919508142648e+00,4.322911065293218336e+00,4.369084270447048723e+00,4.310242856126944133e+00,4.202128933175087511e+00,4.166551003868894654e+00,4.093012267491141998e+00,4.160948552193937999e+00,4.138182152041245843e+00,4.109635700690718707e+00,4.023726070612530847e+00,4.019912152860625199e+00,4.092229194161401296e+00,4.100643356716935806e+00,4.112617124176997763e+00,4.122756433755021099e+00,4.135488658740106516e+00,4.151784559184394041e+00,4.158729346140019878e+00,4.171290622954363592e+00,4.177334462656050462e+00,4.191725031590992856e+00,4.251296384501031866e+00,4.248867558870552230e+00,4.246800887112947009e+00,4.251502853718612585e+00,4.260413042836231234e+00,4.261282423483285342e+00,4.268622464760765567e+00,4.224251072891929581e+00,4.241073175126830463e+00,4.252087168178587007e+00,4.265256408589921833e+00,4.276987774554056543e+00
nan,nan,nan,8.973345200008141731e+00,7.949490378371631749e+00,7.142819267811717054e+00,6.480283411589125464e+00,5.941222258684543789e+00,5.485865819723243497e+00,5.102582833286989583e+00,4.771656687213376102e+00,4.497708038274080167e+00,4.327616251119981605e+00,4.174752400714859313e+00,4.039161627717183123e+00,4.163505476970617458e+00,3.978583284593998570e+00,4.017827517862326836e+00,3.999294440785385873e+00,4.001150798576073697e+00,3.848131143605404425e+00,3.999415955942915879e+00,3.896127121478649702e+00,3.892973484152741026e+00,3.868912899496846691e+00,3.851966106931769218e+00,3.832527570189129484e+00,3.889391152514733996e+00,3.882640629476830973e+00,3.893462283423375858e+00,3.831179499436812463e+00,3.841348045308363268e+00,3.854207364451925244e+00,3.867321112964952512e+00,3.880502929294716630e+00,3.889979943325338585e+00,3.892382165987384290e+00,3.975147651694681095e+00,3.962893591205867594e+00,3.961814051793973501e+00,3.964032519753466488e+00,3.964980423542287191e+00,3.971638362632904595e+00,3.979210125715689994e+00,3.982896557548651018e+00,3.940561448551664014e+00,3.956988270816689468e+00,3.967705213628880401e+00,3.980570923004339789e+00,3.991908930462507943e+00
nan,nan,nan,nan,7.877452510034299138e+00,7.064891288392473712e+00,6.405905295122338750e+00,5.869813012004266639e+00,5.412020231472654430e+00,5.029854138210204439e+00,4.698539515409612122e+00,4.447237185514781643e+00,4.196104226401935477e+00,4.047220732564696277e+00,4.178390101117878785e+00,4.117223521277073139e+00,3.960702574807114296e+00,3.906354396517865091e+00,3.842083899109801415e+00,3.745348205123900431e+00,3.779355091567028424e+00,3.639528527469713559e+00,3.690192788373101607e+00,3.627970339995225224e+00,3.709582857276117362e+00,3.687686505163120465e+00,3.666334673133749611e+00,3.709361927368170608e+00,3.709826880727177034e+00,3.706984300043613345e+00,3.786256178097619607e+00,3.775842128875060766e+00,3.766668144487548719e+00,3.761189173315335310e+00,3.757544126990758127e+00,3.671134692951365075e+00,3.674839144735267293e+00,3.753280584482675764e+00,3.742321818657901922e+00,3.741484074718719466e+00,3.743194797796137507e+00,3.745889264222165949e+00,3.752928729781515482e+00,3.760628189412011491e+00,3.703764975660084335e+00,3.724178303463139272e+00,3.740078260505520724e+00,3.750607227984571246e+00,3.763171245388958308e+00,3.774242337602577546e+00
nan,nan,nan,nan,nan,7.014854652645915678e+00,6.358106811083073850e+00,5.819153303560096191e+00,5.363582404920133939e+00,4.981114121690833230e+00,4.704405402092479704e+00,4.572966032630043642e+00,4.401066427260701630e+00,4.271112709127848461e+00,4.144627382521846926e+00,4.080459132907532371e+00,3.924285322414980293e+00,3.874296849880854321e+00,3.810334753398051166e+00,3.711630316982317268e+00,3.631842849915719817e+00,3.506628151869751520e+00,3.468771541226377764e+00,3.528555341917523513e+00,3.476700602038266918e+00,3.516063413548446537e+00,3.453666864729579622e+00,3.606578616457956077e+00,3.572372575902169611e+00,3.568250641868014661e+00,3.566598763659321047e+00,3.567294162683457337e+00,3.567693345214109080e+00,3.572988861992274057e+00,3.646151622874906462e+00,3.638768894162492273e+00,3.626718101413606288e+00,3.688684663709638656e+00,3.664624830696099345e+00,3.567739123035964965e+00,3.571110569188815642e+00,3.573076239791864950e+00,3.580071557949756844e+00,3.590549124539074377e+00,3.533279880979422138e+00,3.552820639170464201e+00,3.568593712978345600e+00,3.578924195198176506e+00,3.591258915126785745e+00,3.602195218776243379e+00
