         2082287 function calls (2048994 primitive calls) in 3.453 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6547    0.004    0.000    0.008    0.000 <__array_function__ internals>:2(empty_like)
    15561    0.008    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\ideal.py:20(_ideal_coefficient)
      211    0.001    0.000    0.008    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:2197(isclose)
     7886    0.008    0.000    0.008    0.000 {built-in method numpy.zeros}
       94    0.000    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1214(H_in)
     1021    0.001    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:828(vle)
       94    0.000    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1217(<listcomp>)
      112    0.002    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_heat_utility.py:365(__call__)
       94    0.000    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1219(H_out)
     1138    0.001    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\cache.py:31(__call__)
        8    0.000    0.000    0.008    0.001 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1977(receive_vent)
     6692    0.006    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:2388(Lastovka_solid_integral)
20753/20695    0.003    0.000    0.008    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.008    0.002 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\_boiler_turbogenerator.py:460(_design)
      180    0.000    0.000    0.008    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\testing\_private\utils.py:1521(compare)
       34    0.001    0.000    0.008    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\vle.py:429(_set_PH_chemical)
       94    0.000    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1222(<listcomp>)
      576    0.002    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:674(blank)
     2908    0.001    0.000    0.007    0.000 {method 'min' of 'numpy.ndarray' objects}
      434    0.001    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:280(<listcomp>)
      314    0.005    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:339(mix_from)
     1287    0.001    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\cache.py:25(retrieve)
       34    0.000    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\solids_separation.py:69(_run)
    88663    0.007    0.000    0.007    0.000 {built-in method builtins.abs}
      610    0.001    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:133(<listcomp>)
     4885    0.007    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:101(array_wegstein_iter)
       34    0.000    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\separations.py:64(mix_and_split_with_moisture_content)
      390    0.001    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:256(<listcomp>)
        8    0.001    0.000    0.007    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:702(_complete_distillation_column_design)
      171    0.000    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:319(_init_outs)
     1145    0.004    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:370(copy_like)
    38054    0.007    0.000    0.007    0.000 {built-in method math.exp}
      306    0.001    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:251(__init__)
     7132    0.002    0.000    0.007    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
        2    0.000    0.000    0.007    0.003 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\_heat_exchanger_network.py:280(_get_stream_life_cycles)
      171    0.000    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:399(__init__)
       36    0.000    0.000    0.007    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:58(get_life_cycle)
       34    0.000    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\separations.py:157(mix_and_split)
      578    0.003    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\vle.py:224(__init__)
        8    0.000    0.000    0.006    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:784(_cost)
        8    0.000    0.000    0.006    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:645(_simulate_components)
       94    0.000    0.000    0.006    0.000 {method 'sort' of 'list' objects}
     2908    0.001    0.000    0.006    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_methods.py:41(_amin)
       66    0.000    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1018(nu)
    10631    0.006    0.000    0.006    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1460    0.002    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\decorators\registered.py:52(_register)
     4850    0.004    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:1913(Dadgostar_Shaw_integral)
       58    0.000    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:70(<lambda>)
       58    0.000    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:25(H_in)
       82    0.000    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:974(mu)
      225    0.002    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\vle.py:798(_refresh_v)
      168    0.000    0.000    0.006    0.000 C:\Users\yrc2\OneDrive\Code\free_properties\free_properties\_property_array.py:101(value)
       48    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\tank.py:253(_design)
        4    0.000    0.000    0.005    0.001 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemicals.py:475(get_combustion_reactions)
    24236    0.005    0.000    0.005    0.000 {built-in method math.sqrt}
       48    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1204(F_vol_out)
      107    0.002    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\heat_exchange.py:127(_design)
        4    0.000    0.000    0.005    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:542(_design)
       58    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\free_properties\free_properties\_property_array.py:227(__radd__)
      383    0.001    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\volume.py:608(calculate_P)
       48    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1199(vol_out)
      309    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:854(phase)
        4    0.000    0.000    0.005    0.001 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemicals.py:490(<listcomp>)
     1274    0.001    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\free_properties\free_properties\_free_property.py:82(__float__)
      328    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemical.py:1263(get_combustion_reaction)
       12    0.000    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:419(H)
     6491    0.003    0.000    0.005    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:1358(<listcomp>)
      540    0.002    0.000    0.005    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\testing\_private\utils.py:715(func_assert_same_pos)
      887    0.002    0.000    0.005    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemicals.py:1058(get_vle_indices)
      204    0.001    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:880(Hvap)
     1084    0.002    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:224(_get_property_cache)
       60    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\heat_exchange.py:322(__init__)
      309    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:857(<listcomp>)
      872    0.003    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\other.py:31(fill_like)
      990    0.001    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:996(VolumetricFlowProperty)
      162    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:218(<listcomp>)
      750    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:391(isempty)
    16017    0.004    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      114    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1014(rho)
      234    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:423(get_agile_capital_costs)
     2517    0.004    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\utils\t_dependent_property.py:2978(extrapolate_integral)
      284    0.001    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\reaction\_reaction.py:234(__init__)
      922    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\decorators\registered.py:75(ID)
        6    0.000    0.000    0.004    0.001 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\sugarcane\_system.py:530(get_dilution_water)
       48    0.000    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:598(P)
      927    0.002    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:537(phases_are_empty)
      750    0.002    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:66(isempty)
      211    0.002    0.000    0.004    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:2274(within_tol)
      978    0.003    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:300(__getitem__)
     6444    0.004    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\activity_coefficients.py:286(args)
      446    0.001    0.000    0.004    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:88(__init__)
        2    0.000    0.000    0.003    0.002 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\agile\_agile_system.py:74(create_scenario)
        2    0.000    0.000    0.003    0.002 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_system.py:1442(get_scenario_costs)
       22    0.000    0.000    0.003    0.000 C:\Users\yrc2\AppData\Roaming\Python\Python38\site-packages\numba\core\dispatcher.py:340(_compile_for_args)
     9287    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      696    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:69(copy)
     2449    0.003    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\vapor_pressure.py:1544(Wagner)
    23192    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
      576    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:653(_set_phases)
      309    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1658(vle_chemicals)
        1    0.000    0.000    0.003    0.003 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\agile\_agile_system.py:77(compile_scenarios)
     1380    0.001    0.000    0.003    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
    12501    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\design_tools\pressure_vessel.py:74(_vessel_design)
       12    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\_system.py:513(adjust_biodiesel_wash_water)
      317    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_pump.py:155(_run)
      453    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(all)
       22    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:494(get_coldest_stream_from_life_cycle)
        1    0.000    0.000    0.003    0.003 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\agile\_agile_system.py:83(<dictcomp>)
      866    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemical.py:1306(<lambda>)
       39    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\heat_exchange.py:637(__init__)
        2    0.000    0.000    0.003    0.002 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_system.py:362(from_units)
    18249    0.003    0.000    0.003    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\multiarray.py:1043(copyto)
      390    0.002    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:119(_P_error)
      171    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:314(_init_ins)
       56    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:652(get_property)
      234    0.002    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:433(_fill_agile_capital_costs)
        2    0.000    0.000    0.003    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_system.py:1199(_setup)
      171    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:359(__init__)
      192    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\viscosity.py:587(calculate_P)
     1708    0.003    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:138(array_aitken_iter)
      190    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:887(<listcomp>)
      451    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:811(F_mass)
      306    0.000    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:475(_init_indexer)
      887    0.003    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemicals.py:1072(<listcomp>)
      426    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:104(__init__)
      186    0.001    0.000    0.003    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1810(get_normalized_mol)
    10006    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\utils\t_dependent_property.py:216(f_int)
       96    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_junction.py:89(_run)
      339    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\registry.py:77(register_safely)
       12    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:161(__init__)
       45    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\sugarcane\_system.py:516(get_sugar_concentration)
       80    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_heat_utility.py:533(load_agent)
      390    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:145(_Py_ideal)
        6    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\design_tools\pressure_vessel.py:108(_vertical_vessel_design)
        2    0.000    0.000    0.002    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_system.py:330(from_feedstock)
  323/297    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:508(_load_capital_costs)
      453    0.000    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2337(all)
      434    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:167(_Px_ideal)
     1273    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\decorators\chemicals_user.py:23(_load_chemicals)
      916    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:341(__setitem__)
      138    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\vle.py:396(_set_thermal_condition_chemical)
     1057    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:384(price)
     6491    0.002    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:1194(<dictcomp>)
     5122    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:1824(Dadgostar_Shaw_terms)
      730    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:382(_copy_without_data)
       22    0.000    0.000    0.002    0.000 C:\Users\yrc2\AppData\Roaming\Python\Python38\site-packages\numba\core\dispatcher.py:864(compile)
     1133    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:493(reset_cache)
      306    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:389(blank)
      342    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:245(_initialize_missing_streams)
        8    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\_system.py:247(adjust_feed_flow_rates)
      158    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1674(get_bubble_point)
       59    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:189(__init__)
     1094    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\heat_capacity.py:1259(calculate)
      453    0.001    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
      399    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1403(copy_flow)
      860    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_phase.py:35(phase_tuple)
      107    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\heat_exchange.py:173(_cost)
       62    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:606(get_total_flow)
     4084    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:335(__iter__)
        4    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_multi_effect_evaporator.py:363(_design)
      759    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:319(__setitem__)
     26/2    0.000    0.000    0.002    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_network.py:265(from_feedstock)
      747    0.001    0.000    0.002    0.000 {method 'all' of 'numpy.generic' objects}
        6    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\_system.py:360(adjust_feed_to_reactors)
        2    0.000    0.000    0.002    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\piping.py:23(g)
        2    0.000    0.000    0.002    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_system.py:495(_load_configuration)
     2760    0.001    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
        4    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:384(_horizontal_vessel_pressure_diameter_and_length)
     3125    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_thermal_condition.py:66(__iter__)
       22    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:269(get_stream_at_H_min)
       31    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(allclose)
      768    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_thermal_condition.py:57(copy)
       10    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:1234(Hnet)
     1459    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:414(phase)
     2671    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_phase.py:136(phase)
       31    0.000    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:2121(allclose)
        8    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:665(_compute_N_stages)
      225    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\vle.py:795(_estimate_v)
     5124    0.002    0.000    0.002    0.000 {built-in method math.log}
     1121    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\decorators\registered.py:44(_take_unregistered_ticket)
      668    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\volume.py:540(calculate)
    13254    0.002    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:159(bisect)
      422    0.001    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
    12982    0.002    0.000    0.002    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:1109(_roll_dispatcher)
     1133    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_thermal_condition.py:28(__init__)
    11141    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.002    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:236(<listcomp>)
       30    0.000    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_heat_utility.py:540(mix_from)
     1280    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:750(phase)
     1412    0.001    0.000    0.002    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:726(__getitem__)
       20    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\utils\unit_warnings.py:60(bounds_warning)
       98    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:858(phase)
     1273    0.001    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_settings.py:54(get_default_chemicals)
       10    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_heat_utility.py:469(sum_by_agent)
        8    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:300(_design_parameters)
       10    0.000    0.000    0.001    0.000 {built-in method _warnings.warn}
      284    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\reaction\_xparse.py:17(get_phases)
      763    0.001    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:468(force_calculate)
        6    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\drying.py:114(_run)
      120    0.001    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1200(split_to)
     6436    0.001    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\utils.py:298(property_mass_to_molar)
       10    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_heat_utility.py:481(<listcomp>)
       26    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_heat_utility.py:459(sum)
      114    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:939(MW)
     2624    0.001    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:27(solve_y)
       80    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\splitting.py:170(_run)
      517    0.001    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\indexer.py:765(__setitem__)
      339    0.000    0.000    0.001    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\utils\registry.py:21(check_valid_ID)
        2    0.000    0.000    0.001    0.001 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\units.py:109(_design)
