         2082287 function calls (2048994 primitive calls) in 3.453 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      235    0.001    0.000    0.053    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\mixture\mixture.py:333(xsolve_T)
       14    0.000    0.000    0.051    0.004 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\_system.py:470(startup_water)
     1084    0.003    0.000    0.050    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_multi_stream.py:412(H)
        8    0.000    0.000    0.048    0.006 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:832(compute_stages_McCabeThiele)
        8    0.000    0.000    0.048    0.006 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:603(_run_condenser_and_boiler)
      500    0.008    0.000    0.047    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:217(solve_Py)
        8    0.000    0.000    0.043    0.005 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:585(get_feed_quality)
    18249    0.014    0.000    0.043    0.000 <__array_function__ internals>:2(copyto)
   104095    0.024    0.000    0.042    0.000 {built-in method builtins.isinstance}
     1380    0.005    0.000    0.040    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\interpolate\interpolate.py:652(_evaluate)
    16453    0.039    0.000    0.039    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\activity_coefficients.py:93(loggammacs_modified_UNIFAC)
    13358    0.008    0.000    0.039    0.000 {method 'any' of 'numpy.ndarray' objects}
    43612    0.034    0.000    0.038    0.000 {built-in method numpy.array}
      715    0.001    0.000    0.036    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\mixture\mixture.py:64(xiter_temperature)
     3972    0.004    0.000    0.034    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:126(<listcomp>)
      292    0.000    0.000    0.033    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1189(<listcomp>)
      204    0.003    0.000    0.032    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:623(_run)
    21646    0.023    0.000    0.031    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\vapor_pressure.py:1127(Wagner_original)
    13358    0.004    0.000    0.031    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_methods.py:53(_any)
      108    0.001    0.000    0.028    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:152(_Tx_ideal)
       88    0.001    0.000    0.026    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\heat_exchange.py:492(_design)
        4    0.000    0.000    0.026    0.006 C:\ProgramData\Anaconda3\lib\site-packages\scipy\optimize\zeros.py:650(brentq)
        4    0.000    0.000    0.026    0.006 {built-in method scipy.optimize._zeros._brentq}
       40    0.000    0.000    0.026    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\distillation.py:1151(<lambda>)
    29101    0.026    0.000    0.026    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2234    0.003    0.000    0.025    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\bubble_point.py:113(<listcomp>)
    21190    0.025    0.000    0.025    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\functional.py:22(normalize)
     6962    0.006    0.000    0.023    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:533(force_calculate_integral)
     4885    0.012    0.000    0.023    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:78(wegstein_iter)
     1380    0.001    0.000    0.022    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\interpolate\interpolate.py:644(_call_spline)
     2467    0.002    0.000    0.022    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\free_energy.py:54(Gas_Enthalpy_Ref_Liquid)
    19573    0.022    0.000    0.022    0.000 {built-in method numpy.empty}
     2953    0.002    0.000    0.021    0.000 {method 'mean' of 'numpy.ndarray' objects}
     1231    0.006    0.000    0.021    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\dew_point.py:140(_T_error_ideal)
     1380    0.005    0.000    0.021    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\interpolate\_bsplines.py:301(__call__)
     9526    0.017    0.000    0.021    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_methods.py:59(_count_reduce_items)
     9065    0.008    0.000    0.020    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\heat_capacity.py:1336(calculate_integral)
      504    0.001    0.000    0.020    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1640(vle)
        6    0.000    0.000    0.019    0.003 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\units.py:41(_run)
      774    0.001    0.000    0.018    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\mixture\ideal_mixture_model.py:101(__call__)
    30081    0.008    0.000    0.018    0.000 C:\ProgramData\Anaconda3\lib\abc.py:96(__instancecheck__)
     6491    0.011    0.000    0.017    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\numeric.py:1308(normalize_axis_tuple)
